,all_100,all_101
358,13.0,8.0
359,15.0,8.0
360,16.0,11.0
361,17.0,13.0
362,19.0,15.0
363,19.0,15.0
364,19.0,16.0
365,19.0,16.0
366,22.0,17.0
367,20.0,16.0
368,22.0,17.0
369,21.0,16.0
370,17.0,15.0
371,13.0,14.0
372,11.0,12.0
373,12.0,8.0
374,11.0,6.0
375,10.0,6.0
376,12.0,6.0
377,10.0,7.0
378,10.0,5.0
379,10.0,6.0
380,13.0,5.0
381,13.0,7.0
382,15.0,8.0
383,17.0,9.0
384,17.0,11.0
385,20.0,13.0
386,22.0,13.0
387,26.0,13.0
388,26.0,13.0
389,27.0,16.0
390,27.0,16.0
391,21.0,15.0
392,20.0,14.0
393,19.0,11.0
394,17.0,9.0
395,19.0,10.0
396,22.0,8.0
397,19.0,5.0
398,15.0,5.0
399,11.0,2.0
400,9.0,5.0
401,4.0,8.0
402,5.0,7.0
403,7.0,9.0
404,9.0,11.0
405,10.0,13.0
406,10.0,14.0
407,10.0,15.0
408,10.0,16.0
409,10.0,16.0
410,10.0,16.0
411,14.0,17.0
412,14.0,17.0
413,14.0,17.0
414,14.0,17.0
415,12.0,12.0
416,9.0,8.0
417,7.0,5.0
418,7.0,3.0
419,8.0,1.0
420,9.0,1.0
421,5.0,3.0
422,4.0,8.0
423,3.0,6.0
424,2.0,4.0
425,5.0,2.0
426,7.0,1.0
427,10.0,4.0
428,10.0,6.0
429,13.0,5.0
430,13.0,5.0
431,13.0,7.0
432,16.0,9.0
433,20.0,10.0
434,20.0,10.0
435,22.0,10.0
436,23.0,11.0
437,24.0,13.0
438,24.0,15.0
439,20.0,11.0
440,17.0,10.0
441,15.0,9.0
442,13.0,10.0
443,11.0,7.0
444,7.0,5.0
445,6.0,6.0
446,6.0,2.0
447,7.0,4.0
448,6.0,5.0
449,4.0,4.0
450,2.0,3.0
451,2.0,3.0
452,2.0,3.0
453,3.0,4.0
454,4.0,5.0
455,5.0,5.0
456,7.0,5.0
457,7.0,6.0
458,9.0,9.0
459,10.0,10.0
460,12.0,11.0
461,15.0,11.0
462,17.0,12.0
463,14.0,11.0
464,16.0,12.0
465,17.0,13.0
466,15.0,14.0
467,14.0,11.0
468,14.0,10.0
469,13.0,8.0
470,13.0,3.0
471,14.0,2.0
472,12.0,1.0
473,11.0,3.0
474,9.0,3.0
475,9.0,8.0
476,11.0,8.0
477,15.0,9.0
478,16.0,13.0
479,18.0,15.0
480,19.0,18.0
481,20.0,19.0
482,22.0,19.0
483,22.0,23.0
484,22.0,24.0
485,22.0,24.0
486,23.0,25.0
487,19.0,23.0
488,14.0,20.0
489,12.0,17.0
490,10.0,16.0
491,8.0,17.0
492,7.0,15.0
493,6.0,9.0
494,4.0,5.0
495,3.0,1.0
496,1.0,1.0
497,2.0,3.0
498,3.0,6.0
499,3.0,8.0
500,4.0,9.0
501,5.0,8.0
502,9.0,10.0
503,11.0,11.0
504,11.0,13.0
505,11.0,13.0
506,11.0,14.0
507,12.0,16.0
508,15.0,21.0
509,16.0,22.0
510,16.0,24.0
511,16.0,22.0
512,14.0,23.0
513,13.0,22.0
514,13.0,20.0
515,13.0,20.0
516,11.0,17.0
517,10.0,17.0
518,7.0,16.0
519,7.0,13.0
520,6.0,11.0
521,3.0,9.0
522,4.0,8.0
523,4.0,9.0
524,6.0,10.0
525,8.0,10.0
526,11.0,11.0
527,12.0,11.0
528,12.0,11.0
529,14.0,12.0
530,16.0,13.0
531,16.0,13.0
532,20.0,14.0
533,23.0,15.0
534,25.0,15.0
535,24.0,12.0
536,22.0,12.0
537,21.0,11.0
538,23.0,13.0
539,23.0,10.0
540,21.0,11.0
541,17.0,11.0
542,14.0,9.0
543,12.0,8.0
544,10.0,7.0
545,12.0,5.0
546,9.0,4.0
547,10.0,6.0
548,11.0,10.0
549,15.0,13.0
550,16.0,12.0
551,17.0,14.0
552,18.0,14.0
553,21.0,16.0
554,23.0,17.0
555,23.0,18.0
556,25.0,23.0
557,28.0,24.0
558,30.0,25.0
559,27.0,22.0
560,25.0,18.0
561,22.0,18.0
562,17.0,20.0
563,19.0,22.0
564,19.0,20.0
565,19.0,17.0
566,17.0,16.0
567,15.0,14.0
568,13.0,13.0
569,12.0,11.0
570,11.0,6.0
571,12.0,5.0
572,14.0,6.0
573,15.0,6.0
574,18.0,7.0
575,20.0,8.0
576,20.0,11.0
577,23.0,15.0
578,25.0,16.0
579,26.0,18.0
580,27.0,19.0
581,27.0,23.0
582,28.0,24.0
583,24.0,21.0
584,20.0,20.0
585,19.0,20.0
586,21.0,18.0
587,22.0,18.0
588,20.0,20.0
589,18.0,21.0
590,16.0,18.0
591,14.0,17.0
592,15.0,14.0
593,15.0,15.0
594,11.0,13.0
595,13.0,15.0
596,17.0,17.0
597,18.0,17.0
598,19.0,18.0
599,21.0,19.0
600,21.0,20.0
601,21.0,21.0
602,23.0,25.0
603,24.0,27.0
604,24.0,30.0
605,25.0,37.0
606,27.0,37.0
607,22.0,33.0
608,21.0,32.0
609,18.0,33.0
610,18.0,36.0
611,16.0,38.0
612,18.0,35.0
613,18.0,35.0
614,17.0,36.0
615,16.0,35.0
616,13.0,32.0
617,9.0,32.0
618,9.0,29.0
619,9.0,29.0
620,9.0,31.0
621,9.0,32.0
622,10.0,33.0
623,11.0,34.0
624,12.0,34.0
625,15.0,35.0
626,16.0,36.0
627,16.0,39.0
628,16.0,40.0
629,18.0,41.0
630,19.0,41.0
631,14.0,37.0
632,14.0,35.0
633,15.0,34.0
634,17.0,34.0
635,14.0,33.0
636,16.0,32.0
637,13.0,33.0
638,14.0,29.0
639,14.0,27.0
640,12.0,26.0
641,9.0,25.0
642,5.0,26.0
643,5.0,26.0
644,6.0,26.0
645,6.0,27.0
646,7.0,28.0
647,8.0,30.0
648,11.0,31.0
649,11.0,32.0
650,12.0,33.0
651,13.0,35.0
652,14.0,35.0
653,15.0,38.0
654,18.0,39.0
655,15.0,35.0
656,18.0,32.0
657,16.0,29.0
658,14.0,28.0
659,15.0,28.0
660,15.0,28.0
661,12.0,28.0
662,13.0,29.0
663,10.0,28.0
664,8.0,25.0
665,10.0,25.0
666,8.0,21.0
667,8.0,23.0
668,10.0,27.0
669,11.0,30.0
670,13.0,31.0
671,14.0,31.0
672,15.0,32.0
673,15.0,34.0
674,16.0,35.0
675,18.0,37.0
676,19.0,37.0
677,19.0,38.0
678,20.0,42.0
679,18.0,39.0
680,16.0,36.0
681,17.0,34.0
682,18.0,33.0
683,15.0,32.0
684,11.0,31.0
685,10.0,29.0
686,8.0,27.0
687,7.0,29.0
688,9.0,29.0
689,6.0,25.0
690,8.0,25.0
691,10.0,26.0
692,11.0,26.0
693,12.0,27.0
694,13.0,29.0
695,13.0,31.0
696,13.0,33.0
697,13.0,33.0
698,15.0,34.0
699,16.0,34.0
700,19.0,35.0
701,20.0,36.0
702,22.0,37.0
703,20.0,33.0
704,16.0,31.0
705,16.0,29.0
706,17.0,25.0
707,18.0,25.0
708,18.0,22.0
709,17.0,22.0
710,16.0,20.0
711,16.0,20.0
712,12.0,20.0
713,11.0,19.0
714,9.0,16.0
715,11.0,18.0
716,12.0,20.0
717,16.0,21.0
718,20.0,22.0
719,23.0,22.0
720,24.0,23.0
721,27.0,23.0
722,29.0,23.0
723,30.0,24.0
724,30.0,24.0
725,30.0,25.0
726,31.0,28.0
727,27.0,23.0
728,23.0,22.0
729,19.0,21.0
730,16.0,20.0
731,16.0,17.0
732,17.0,19.0
733,16.0,20.0
734,17.0,21.0
735,14.0,19.0
736,10.0,17.0
737,9.0,14.0
738,7.0,12.0
739,7.0,12.0
740,7.0,13.0
741,7.0,14.0
742,10.0,15.0
743,11.0,15.0
744,13.0,18.0
745,15.0,18.0
746,16.0,19.0
747,17.0,20.0
748,19.0,21.0
749,20.0,21.0
750,21.0,23.0
751,17.0,23.0
752,15.0,26.0
753,15.0,25.0
754,16.0,21.0
755,14.0,18.0
756,14.0,18.0
757,16.0,16.0
758,15.0,16.0
759,13.0,14.0
760,10.0,15.0
761,9.0,13.0
762,7.0,10.0
763,7.0,9.0
764,9.0,11.0
765,11.0,13.0
766,12.0,14.0
767,14.0,15.0
768,15.0,17.0
769,19.0,19.0
770,20.0,20.0
771,20.0,21.0
772,21.0,22.0
773,21.0,23.0
774,21.0,24.0
775,17.0,20.0
776,15.0,20.0
777,15.0,21.0
778,15.0,19.0
779,14.0,18.0
780,11.0,19.0
781,11.0,19.0
782,7.0,15.0
783,5.0,19.0
784,3.0,18.0
785,3.0,15.0
786,3.0,12.0
787,3.0,15.0
788,6.0,16.0
789,8.0,16.0
790,9.0,19.0
791,10.0,19.0
792,12.0,20.0
793,14.0,20.0
794,14.0,20.0
795,14.0,22.0
796,15.0,22.0
797,17.0,22.0
798,17.0,25.0
799,13.0,20.0
800,11.0,16.0
801,12.0,12.0
802,11.0,14.0
803,7.0,15.0
804,8.0,13.0
805,7.0,13.0
806,7.0,12.0
807,7.0,10.0
808,6.0,13.0
809,3.0,13.0
810,3.0,9.0
811,5.0,11.0
812,9.0,12.0
813,11.0,16.0
814,13.0,17.0
815,14.0,21.0
816,15.0,21.0
817,16.0,23.0
818,16.0,25.0
819,16.0,27.0
820,17.0,29.0
821,18.0,29.0
822,18.0,32.0
823,17.0,26.0
824,14.0,25.0
825,12.0,26.0
826,12.0,26.0
827,14.0,25.0
828,15.0,22.0
829,12.0,20.0
830,9.0,16.0
831,7.0,14.0
832,8.0,14.0
833,6.0,13.0
834,3.0,10.0
835,5.0,11.0
836,5.0,12.0
837,7.0,13.0
838,8.0,15.0
839,10.0,15.0
840,10.0,17.0
841,10.0,19.0
842,11.0,20.0
843,12.0,22.0
844,14.0,22.0
845,15.0,23.0
846,16.0,24.0
847,13.0,19.0
848,12.0,20.0
849,12.0,17.0
850,13.0,15.0
851,13.0,15.0
852,14.0,15.0
853,12.0,13.0
854,10.0,10.0
855,8.0,6.0
856,6.0,9.0
857,5.0,10.0
858,5.0,10.0
859,7.0,10.0
860,10.0,11.0
861,11.0,11.0
862,11.0,13.0
863,13.0,14.0
864,16.0,14.0
865,17.0,18.0
866,17.0,21.0
867,18.0,23.0
868,20.0,24.0
869,20.0,26.0
870,21.0,28.0
871,17.0,21.0
872,16.0,20.0
873,17.0,19.0
874,17.0,18.0
875,15.0,18.0
876,16.0,16.0
877,15.0,16.0
878,10.0,12.0
879,8.0,7.0
880,6.0,7.0
881,6.0,5.0
882,6.0,3.0
883,6.0,5.0
884,9.0,5.0
885,11.0,6.0
886,12.0,9.0
887,12.0,9.0
888,13.0,12.0
889,15.0,13.0
890,16.0,15.0
891,17.0,16.0
892,17.0,17.0
893,17.0,17.0
894,19.0,17.0
895,14.0,13.0
896,13.0,10.0
897,14.0,9.0
898,16.0,10.0
899,16.0,10.0
900,17.0,9.0
901,17.0,11.0
902,13.0,7.0
903,8.0,6.0
904,5.0,5.0
905,4.0,5.0
906,2.0,8.0
907,4.0,10.0
908,7.0,11.0
909,7.0,12.0
910,7.0,13.0
911,6.0,15.0
912,6.0,17.0
913,7.0,18.0
914,9.0,18.0
915,10.0,22.0
916,11.0,22.0
917,13.0,24.0
918,14.0,24.0
919,12.0,21.0
920,12.0,19.0
921,12.0,19.0
922,10.0,19.0
923,10.0,21.0
924,10.0,17.0
925,9.0,14.0
926,9.0,14.0
927,8.0,12.0
928,7.0,8.0
929,3.0,5.0
930,2.0,2.0
931,5.0,5.0
932,5.0,7.0
933,7.0,7.0
934,8.0,7.0
935,10.0,7.0
936,12.0,8.0
937,13.0,10.0
938,16.0,12.0
939,16.0,13.0
940,18.0,15.0
941,20.0,15.0
942,25.0,17.0
943,23.0,12.0
944,24.0,16.0
945,21.0,18.0
946,23.0,17.0
947,23.0,18.0
948,20.0,16.0
949,17.0,14.0
950,17.0,14.0
951,13.0,11.0
952,11.0,8.0
953,8.0,7.0
954,9.0,6.0
955,11.0,7.0
956,12.0,10.0
957,16.0,10.0
958,17.0,12.0
959,17.0,13.0
960,18.0,13.0
961,19.0,14.0
962,21.0,15.0
963,24.0,16.0
964,25.0,17.0
965,27.0,17.0
966,29.0,17.0
967,24.0,14.0
968,22.0,12.0
969,23.0,12.0
970,24.0,10.0
971,23.0,7.0
972,22.0,8.0
973,23.0,7.0
974,20.0,6.0
975,16.0,5.0
976,14.0,6.0
977,13.0,5.0
978,10.0,4.0
979,11.0,6.0
980,11.0,10.0
981,12.0,13.0
982,12.0,14.0
983,15.0,14.0
984,15.0,16.0
985,17.0,16.0
986,17.0,19.0
987,17.0,20.0
988,17.0,21.0
989,19.0,25.0
990,19.0,25.0
991,14.0,19.0
992,13.0,19.0
993,16.0,17.0
994,15.0,17.0
995,14.0,16.0
996,12.0,16.0
997,9.0,13.0
998,10.0,13.0
999,7.0,13.0
1000,8.0,10.0
1001,10.0,6.0
1002,8.0,4.0
1003,9.0,6.0
1004,14.0,8.0
1005,15.0,7.0
1006,16.0,8.0
1007,16.0,9.0
1008,16.0,10.0
1009,16.0,10.0
1010,19.0,12.0
1011,19.0,13.0
1012,20.0,16.0
1013,22.0,16.0
1014,22.0,17.0
1015,17.0,12.0
1016,13.0,10.0
1017,9.0,9.0
1018,7.0,8.0
1019,7.0,7.0
1020,9.0,8.0
1021,8.0,8.0
1022,10.0,6.0
1023,9.0,7.0
1024,10.0,3.0
1025,9.0,1.0
1026,6.0,1.0
1027,7.0,5.0
1028,8.0,7.0
1029,9.0,7.0
1030,11.0,9.0
1031,11.0,9.0
1032,15.0,8.0
1033,16.0,10.0
1034,18.0,10.0
1035,18.0,11.0
1036,18.0,12.0
1037,18.0,14.0
1038,19.0,14.0
1039,18.0,10.0
1040,15.0,8.0
1041,14.0,9.0
1042,13.0,8.0
1043,8.0,5.0
1044,5.0,2.0
1045,3.0,2.0
1046,3.0,3.0
1047,4.0,3.0
1048,4.0,3.0
1049,5.0,1.0
1050,4.0,0.0
1051,4.0,2.0
1052,4.0,2.0
1053,5.0,3.0
1054,6.0,3.0
1055,10.0,3.0
1056,11.0,4.0
1057,11.0,4.0
1058,13.0,7.0
1059,15.0,7.0
1060,16.0,8.0
1061,17.0,10.0
1062,20.0,10.0
1063,15.0,6.0
1064,12.0,10.0
1065,11.0,11.0
1066,9.0,8.0
1067,6.0,7.0
1068,5.0,4.0
1069,2.0,2.0
1070,1.0,2.0
1071,2.0,1.0
1072,4.0,2.0
1073,3.0,3.0
1074,1.0,5.0
1075,1.0,5.0
1076,3.0,6.0
1077,7.0,7.0
1078,7.0,9.0
1079,6.0,10.0
1080,9.0,10.0
1081,9.0,10.0
1082,10.0,13.0
1083,10.0,13.0
1084,11.0,15.0
1085,12.0,16.0
1086,13.0,19.0
1087,8.0,15.0
1088,6.0,14.0
1089,8.0,14.0
1090,9.0,14.0
1091,10.0,12.0
1092,9.0,8.0
1093,9.0,6.0
1094,8.0,4.0
1095,7.0,5.0
1096,4.0,2.0
1097,3.0,2.0
1098,3.0,2.0
1099,6.0,5.0
1100,7.0,6.0
1101,9.0,6.0
1102,12.0,8.0
1103,12.0,10.0
1104,14.0,12.0
1105,16.0,13.0
1106,19.0,13.0
1107,20.0,15.0
1108,22.0,16.0
1109,27.0,17.0
1110,31.0,17.0
1111,27.0,11.0
1112,24.0,10.0
1113,24.0,9.0
1114,25.0,8.0
1115,24.0,7.0
1116,22.0,7.0
1117,19.0,6.0
1118,17.0,3.0
1119,16.0,3.0
1120,15.0,2.0
1121,13.0,3.0
1122,7.0,5.0
1123,9.0,6.0
1124,11.0,7.0
1125,11.0,10.0
1126,12.0,13.0
1127,15.0,17.0
1128,15.0,18.0
1129,16.0,18.0
1130,17.0,23.0
1131,18.0,24.0
1132,18.0,26.0
1133,18.0,27.0
1134,18.0,30.0
1135,15.0,28.0
1136,13.0,28.0
1137,10.0,26.0
1138,9.0,26.0
1139,8.0,25.0
1140,8.0,24.0
1141,7.0,21.0
1142,6.0,17.0
1143,7.0,15.0
1144,6.0,14.0
1145,6.0,12.0
1146,7.0,10.0
1147,10.0,10.0
1148,11.0,10.0
1149,11.0,13.0
1150,13.0,15.0
1151,14.0,17.0
1152,15.0,19.0
1153,17.0,20.0
1154,20.0,23.0
1155,22.0,24.0
1156,26.0,27.0
1157,28.0,27.0
1158,31.0,29.0
1159,29.0,29.0
1160,27.0,27.0
1161,25.0,26.0
1162,27.0,27.0
1163,25.0,24.0
1164,26.0,24.0
1165,23.0,23.0
1166,21.0,22.0
1167,17.0,23.0
1168,15.0,21.0
1169,12.0,19.0
1170,8.0,19.0
1171,9.0,18.0
1172,10.0,19.0
1173,15.0,20.0
1174,18.0,21.0
1175,20.0,24.0
1176,21.0,26.0
1177,22.0,28.0
1178,23.0,30.0
1179,23.0,30.0
1180,24.0,32.0
1181,24.0,36.0
1182,24.0,36.0
1183,20.0,32.0
1184,16.0,28.0
1185,17.0,26.0
1186,18.0,24.0
1187,16.0,23.0
1188,16.0,24.0
1189,15.0,24.0
1190,13.0,21.0
1191,14.0,18.0
1192,12.0,16.0
1193,9.0,13.0
1194,9.0,12.0
1195,11.0,12.0
1196,13.0,12.0
1197,13.0,16.0
1198,13.0,18.0
1199,14.0,19.0
1200,18.0,19.0
1201,19.0,20.0
1202,21.0,20.0
1203,22.0,21.0
1204,24.0,22.0
1205,27.0,23.0
1206,27.0,24.0
1207,22.0,24.0
1208,18.0,22.0
1209,16.0,19.0
1210,15.0,16.0
1211,18.0,14.0
1212,17.0,14.0
1213,15.0,13.0
1214,14.0,12.0
1215,10.0,17.0
1216,7.0,15.0
1217,4.0,14.0
1218,3.0,12.0
1219,3.0,12.0
1220,5.0,15.0
1221,7.0,16.0
1222,9.0,19.0
1223,9.0,19.0
1224,9.0,21.0
1225,10.0,21.0
1226,10.0,21.0
1227,13.0,22.0
1228,13.0,23.0
1229,14.0,26.0
1230,18.0,27.0
1231,15.0,23.0
1232,14.0,21.0
1233,14.0,18.0
1234,14.0,19.0
1235,11.0,17.0
1236,12.0,18.0
1237,12.0,16.0
1238,11.0,13.0
1239,10.0,11.0
1240,9.0,9.0
1241,11.0,8.0
1242,8.0,7.0
1243,9.0,7.0
1244,10.0,8.0
1245,10.0,10.0
1246,10.0,12.0
1247,12.0,12.0
1248,12.0,13.0
1249,15.0,15.0
1250,18.0,17.0
1251,19.0,17.0
1252,21.0,18.0
1253,21.0,19.0
1254,22.0,20.0
1255,16.0,15.0
1256,15.0,13.0
1257,11.0,12.0
1258,8.0,11.0
1259,4.0,11.0
1260,1.0,9.0
1261,2.0,5.0
1262,2.0,6.0
1263,3.0,5.0
1264,4.0,4.0
1265,5.0,4.0
1266,5.0,4.0
1267,8.0,6.0
1268,10.0,8.0
1269,10.0,11.0
1270,11.0,13.0
1271,11.0,15.0
1272,12.0,16.0
1273,15.0,18.0
1274,16.0,19.0
1275,19.0,20.0
1276,20.0,22.0
1277,20.0,22.0
1278,22.0,23.0
1279,18.0,18.0
1280,16.0,16.0
1281,15.0,18.0
1282,15.0,18.0
1283,14.0,15.0
1284,14.0,14.0
1285,12.0,13.0
1286,10.0,11.0
1287,7.0,12.0
1288,5.0,11.0
1289,3.0,9.0
1290,2.0,5.0
1291,4.0,6.0
1292,5.0,7.0
1293,8.0,10.0
1294,10.0,11.0
1295,10.0,12.0
1296,12.0,12.0
1297,12.0,14.0
1298,12.0,15.0
1299,12.0,16.0
1300,12.0,16.0
1301,12.0,17.0
1302,12.0,19.0
1303,6.0,15.0
1304,6.0,13.0
1305,5.0,14.0
1306,4.0,13.0
1307,4.0,14.0
1308,6.0,11.0
1309,5.0,12.0
1310,1.0,10.0
1311,2.0,9.0
1312,3.0,8.0
1313,4.0,4.0
1314,4.0,3.0
1315,5.0,5.0
1316,8.0,5.0
1317,9.0,5.0
1318,11.0,6.0
1319,13.0,11.0
1320,13.0,13.0
1321,15.0,14.0
1322,15.0,15.0
1323,16.0,19.0
1324,20.0,19.0
1325,20.0,21.0
1326,22.0,23.0
1327,18.0,19.0
1328,16.0,19.0
1329,15.0,21.0
1330,14.0,22.0
1331,17.0,22.0
1332,15.0,19.0
1333,13.0,18.0
1334,13.0,16.0
1335,7.0,13.0
1336,5.0,9.0
1337,8.0,7.0
1338,6.0,4.0
1339,9.0,6.0
1340,13.0,7.0
1341,14.0,9.0
1342,15.0,9.0
1343,15.0,11.0
1344,17.0,11.0
1345,20.0,12.0
1346,22.0,13.0
1347,24.0,13.0
1348,26.0,14.0
1349,27.0,15.0
1350,29.0,17.0
1351,24.0,13.0
1352,20.0,14.0
1353,19.0,16.0
1354,18.0,14.0
1355,19.0,12.0
1356,19.0,11.0
1357,19.0,8.0
1358,17.0,7.0
1359,13.0,4.0
1360,11.0,3.0
