,Dwell_100,Dwell_101,mean,std
1567,10.15,,10.15,0.0
1568,5.26,6.9,6.08,0.8200000000000003
1571,6.72,13.15,9.935,3.2150000000000003
1572,9.19,4.0,6.595,2.5949999999999998
1573,12.86,3.56,8.209999999999999,4.6499999999999995
1574,4.51,7.04,5.775,1.2650000000000001
1575,2.86,5.59,4.225,1.365
1576,15.28,,15.28,0.0
1577,22.2,4.03,13.115,9.085
1578,5.12,11.57,8.345,3.225
1579,12.77,8.75,10.76,2.01
1580,8.440000000000001,3.99,6.215000000000001,2.2250000000000005
1581,17.63,2.01,9.82,7.81
1582,3.9,,3.9,0.0
1583,3.42,3.08,3.25,0.16999999999999993
1586,8.21,14.26,11.235,3.0249999999999995
1587,13.47,3.72,8.595,4.875
1588,13.41,2.87,8.14,5.27
1592,2.41,6.72,4.5649999999999995,2.155
1593,2.25,5.66,3.955,1.705
1596,12.66,6.96,9.81,2.85
1597,4.23,6.69,5.460000000000001,1.23
1598,16.59,3.8,10.195,6.3950000000000005
1601,3.73,1.82,2.775,0.955
1602,4.71,4.11,4.41,0.2999999999999998
1603,1.7,,1.7,0.0
1605,9.61,4.5,7.055,2.5549999999999997
1606,3.68,,3.68,0.0
1607,8.96,,8.96,0.0
1609,6.69,8.51,7.6,0.9099999999999997
1610,7.27,14.56,10.915,3.6450000000000005
1611,2.68,3.96,3.3200000000000003,0.6399999999999999
1612,4.48,7.46,5.970000000000001,1.4899999999999998
1613,8.42,3.47,5.945,2.475
1614,2.62,8.149999999999999,5.385,2.7649999999999992
1615,3.35,,3.35,0.0
1616,2.61,1.65,2.13,0.48
1617,5.51,3.48,4.495,1.015
1618,6.16,,6.16,0.0
1619,6.26,13.58,9.92,3.66
1620,8.58,,8.58,0.0
1621,8.37,8.11,8.239999999999998,0.1299999999999999
1622,4.89,,4.89,0.0
1623,3.44,2.54,2.99,0.44999999999999996
1624,3.61,7.34,5.475,1.865
1628,6.33,6.800000000000001,6.565,0.23500000000000032
1629,3.7,13.66,8.68,4.9799999999999995
1630,1.46,11.0,6.23,4.7700000000000005
1631,6.98,6.09,6.535,0.4450000000000003
1632,13.4,13.55,13.475000000000001,0.07500000000000018
1634,6.629999999999999,,6.629999999999999,0.0
1636,2.84,6.220000000000001,4.53,1.6900000000000004
1637,4.93,,4.93,0.0
1638,3.09,,3.09,0.0
1639,1.79,3.99,2.89,1.1
1640,14.59,8.68,11.635,2.955
1642,3.73,13.99,8.86,5.13
1643,5.25,,5.25,0.0
1645,6.69,15.21,10.950000000000001,4.26
1646,6.37,,6.37,0.0
1647,15.97,4.71,10.34,5.630000000000001
1649,1.26,5.64,3.4499999999999997,2.19
1651,2.81,2.65,2.73,0.08000000000000007
1652,2.41,3.94,3.175,0.7649999999999999
1653,2.78,9.86,6.319999999999999,3.54
1654,0.97,5.99,3.48,2.5100000000000002
1655,10.66,3.39,7.025,3.6350000000000002
1657,4.609999999999999,,4.609999999999999,0.0
1658,10.56,7.050000000000001,8.805,1.755
1659,2.62,4.68,3.65,1.0299999999999998
1660,5.11,8.7,6.904999999999999,1.7949999999999995
1661,5.75,,5.75,0.0
1663,9.73,6.87,8.3,1.4300000000000002
1664,5.949999999999999,6.68,6.3149999999999995,0.3650000000000002
1665,3.59,,3.59,0.0
1666,8.25,6.6,7.425,0.8250000000000002
1667,2.6,2.2,2.4000000000000004,0.19999999999999996
1669,5.33,13.67,9.5,4.17
1670,7.779999999999999,2.18,4.9799999999999995,2.8
1671,7.63,4.63,6.13,1.5
1672,8.8,12.87,10.835,2.0349999999999993
1674,3.85,6.81,5.33,1.4799999999999998
1675,7.07,3.61,5.34,1.7300000000000002
1677,2.93,5.79,4.36,1.4300000000000002
1678,5.39,4.55,4.97,0.41999999999999993
1679,9.55,13.09,11.32,1.7699999999999996
1680,4.39,7.95,6.17,1.7800000000000002
1683,3.88,9.57,6.725,2.845
1684,6.01,4.609999999999999,5.31,0.7000000000000002
1685,5.65,,5.65,0.0
1687,7.06,2.56,4.81,2.25
1688,2.76,1.67,2.215,0.5449999999999999
1689,14.47,14.68,14.575,0.10499999999999954
1690,7.44,16.05,11.745000000000001,4.305000000000001
