,Anchorage_100,Anchorage_101,mean,std
3334,26.14,10.0,18.07,8.07
3335,11.33,12.6,11.965,0.6349999999999998
3336,10.49,8.0,9.245000000000001,1.245
3337,10.14,7.82,8.98,1.1600000000000001
3338,11.3,7.6,9.45,1.8500000000000005
3339,8.04,7.33,7.685,0.35499999999999954
3340,12.2,8.030000000000001,10.115,2.084999999999999
3341,24.38,7.23,15.805,8.575
3342,11.11,7.47,9.29,1.8199999999999998
3343,25.88,8.32,17.1,8.78
3344,4.63,9.24,6.9350000000000005,2.305
3345,6.76,6.72,6.74,0.020000000000000018
3346,7.92,9.42,8.67,0.75
3347,0.0,7.75,3.875,3.875
3348,0.0,8.93,4.465,4.465
3349,0.0,0.0,0.0,0.0
3350,1.0,6.58,3.79,2.79
3351,15.29,0.0,7.645,7.645
3352,1.0,3.46,2.23,1.23
3353,2.0,1.51,1.755,0.245
3354,15.54,3.01,9.274999999999999,6.265
3355,16.15,0.7,8.424999999999999,7.725
3356,16.21,1.0,8.605,7.605
3357,13.0,1.0,7.0,6.0
3358,11.0,1.0,6.0,5.0
3359,11.0,0.0,5.5,5.5
3360,12.0,0.0,6.0,6.0
3361,13.0,12.0,12.5,0.5
3362,10.0,11.0,10.5,0.5
3363,9.14,11.0,10.07,0.9299999999999997
3364,11.37,12.0,11.684999999999999,0.3150000000000004
3365,11.94,8.0,9.969999999999999,1.9699999999999998
3366,9.9,8.0,8.95,0.9500000000000002
3367,10.63,8.0,9.315000000000001,1.3150000000000004
3368,8.5,0.0,4.25,4.25
3369,10.71,8.0,9.355,1.3550000000000004
3370,9.64,0.0,4.82,4.82
3371,8.1,11.38,9.74,1.6400000000000006
3372,10.6,9.94,10.27,0.33000000000000007
3373,9.77,10.8,10.285,0.5150000000000006
3374,10.03,10.08,10.055,0.025000000000000355
3375,2.0,23.76,12.88,10.88
3376,0.0,10.81,5.405,5.405
3377,2.0,23.65,12.825,10.825
3378,0.0,22.61,11.305,11.305
3379,2.0,9.58,5.79,3.79
3380,0.0,22.16,11.08,11.08
3381,3.0,9.44,6.22,3.2199999999999998
3382,2.0,2.0,2.0,0.0
3383,2.0,0.0,1.0,1.0
3384,0.0,2.0,1.0,1.0
3385,0.0,0.0,0.0,0.0
3386,14.0,0.0,7.0,7.0
3387,0.0,1.0,0.5,0.5
3388,0.0,1.0,0.5,0.5
3389,13.0,0.0,6.5,6.5
3390,0.0,2.0,1.0,1.0
3391,0.0,1.0,0.5,0.5
3392,12.0,0.0,6.0,6.0
3393,12.0,0.0,6.0,6.0
3394,11.0,1.0,6.0,5.0
3395,11.0,0.0,5.5,5.5
3396,9.0,0.0,4.5,4.5
3397,10.0,0.0,5.0,5.0
3398,10.0,12.0,11.0,1.0
3399,9.0,10.0,9.5,0.5
3400,9.0,12.0,10.5,1.5
3401,14.83,10.0,12.415,2.415
3402,13.0,8.0,10.5,2.5
3403,8.98,6.95,7.965,1.0150000000000001
3404,9.51,5.88,7.695,1.815
3405,7.57,6.109999999999999,6.84,0.7300000000000004
3406,11.26,7.91,9.585,1.6749999999999998
3407,9.19,10.4,9.795,0.6050000000000004
3408,10.23,8.15,9.190000000000001,1.04
3409,11.24,7.55,9.395,1.8450000000000002
3410,9.99,9.38,9.685,0.3049999999999997
3411,23.4,9.44,16.419999999999998,6.9799999999999995
3412,1.0,9.16,5.08,4.08
3413,4.0,7.54,5.77,1.77
3414,0.0,3.0,1.5,1.5
3415,1.0,0.0,0.5,0.5
3416,2.0,0.0,1.0,1.0
3417,1.0,2.96,1.98,0.98
3418,3.49,0.0,1.745,1.745
3419,2.0,1.91,1.955,0.04500000000000004
3420,3.78,2.88,3.33,0.44999999999999996
3421,3.07,0.0,1.535,1.535
3422,2.0,1.0,1.5,0.5
3423,3.95,12.0,7.975,4.0249999999999995
3424,0.0,12.0,6.0,6.0
3425,15.12,9.0,12.059999999999999,3.0599999999999996
3426,15.83,0.0,7.915,7.915
3427,15.0,10.0,12.5,2.5
3428,17.0,7.0,12.0,5.0
3429,16.0,8.0,12.0,4.0
3430,10.92,7.0,8.96,1.96
3431,33.5,6.0,19.75,13.75
3432,10.0,9.32,9.66,0.33999999999999986
3433,16.08,10.48,13.28,2.799999999999999
3434,8.0,10.56,9.280000000000001,1.2800000000000002
3435,6.0,11.85,8.925,2.925
3436,10.04,10.97,10.504999999999999,0.46500000000000075
3437,11.43,10.21,10.82,0.6099999999999994
3438,10.92,10.29,10.605,0.3150000000000004
3439,8.0,7.58,7.79,0.20999999999999996
3440,0.0,7.83,3.915,3.915
3441,2.0,9.7,5.85,3.8499999999999996
3442,3.0,8.36,5.68,2.6799999999999997
3443,0.0,6.61,3.305,3.305
3444,1.0,7.27,4.135,3.135
3445,0.0,6.02,3.01,3.01
3446,1.0,0.0,0.5,0.5
3447,14.0,0.0,7.0,7.0
3448,0.0,0.0,0.0,0.0
3449,10.0,1.0,5.5,4.5
3450,10.0,0.0,5.0,5.0
3451,8.0,0.0,4.0,4.0
3452,9.0,0.0,4.5,4.5
3453,6.0,0.0,3.0,3.0
3454,6.0,0.0,3.0,3.0
3455,5.0,0.0,2.5,2.5
3456,8.89,2.0,5.445,3.4450000000000003
3457,8.54,0.0,4.27,4.27
3458,8.98,0.0,4.49,4.49
3459,8.69,1.0,4.845,3.8449999999999998
3460,8.92,12.92,10.92,2.0
3461,8.69,12.0,10.344999999999999,1.6550000000000002
3462,9.5,12.0,10.75,1.25
3463,1.0,9.0,5.0,4.0
3464,3.0,8.0,5.5,2.5
3465,1.0,8.0,4.5,3.5
3466,0.0,10.36,5.18,5.18
3467,0.0,11.24,5.62,5.62
3468,0.0,13.01,6.505,6.505
3469,0.0,11.99,5.995,5.995
3470,0.0,9.18,4.59,4.59
3471,0.0,11.01,5.505,5.505
3472,0.0,9.86,4.93,4.93
3473,12.0,9.89,10.945,1.0549999999999997
3474,12.0,9.67,10.835,1.165
3475,11.0,9.83,10.415,0.585
3476,9.0,10.01,9.504999999999999,0.5049999999999999
3477,8.0,11.01,9.504999999999999,1.505
3478,9.0,11.46,10.23,1.2300000000000004
3479,8.0,23.22,15.61,7.609999999999999
3480,8.0,9.76,8.879999999999999,0.8799999999999999
3481,7.0,22.22,14.61,7.609999999999999
3482,7.0,9.23,8.115,1.1150000000000002
3483,9.67,0.0,4.835,4.835
3484,8.89,1.0,4.945,3.9450000000000003
3485,8.3,0.0,4.15,4.15
3486,9.67,1.0,5.335,4.335
3487,9.29,1.0,5.145,4.145
3488,7.88,0.0,3.94,3.94
3489,11.71,0.0,5.855,5.855
3490,8.64,14.0,11.32,2.6799999999999997
3491,9.45,14.0,11.725,2.2750000000000004
3492,7.51,0.0,3.755,3.755
3493,8.34,10.0,9.17,0.8300000000000001
3494,7.05,9.0,8.025,0.9750000000000001
3495,8.01,10.0,9.004999999999999,0.9950000000000001
3496,0.0,10.0,5.0,5.0
3497,1.0,9.0,5.0,4.0
3498,1.0,9.0,5.0,4.0
3499,0.0,10.48,5.24,5.24
3500,0.0,10.04,5.02,5.02
3501,1.0,9.03,5.015,4.015
3502,0.0,8.64,4.32,4.32
3503,1.0,8.89,4.945,3.9450000000000003
3504,1.0,7.79,4.395,3.395
3505,0.0,8.06,4.03,4.03
3506,14.0,7.93,10.965,3.035
3507,0.0,0.0,0.0,0.0
3508,0.0,0.0,0.0,0.0
3509,1.0,0.0,0.5,0.5
3510,0.0,0.0,0.0,0.0
3511,0.0,0.0,0.0,0.0
3512,13.0,0.0,6.5,6.5
3513,13.07,0.0,6.535,6.535
3514,0.0,0.0,0.0,0.0
3515,12.0,0.0,6.0,6.0
3516,12.0,0.0,6.0,6.0
3517,0.0,0.0,0.0,0.0
3518,10.0,14.0,12.0,2.0
3519,7.0,0.0,3.5,3.5
3520,7.0,0.0,3.5,3.5
3521,11.09,12.0,11.545,0.45500000000000007
3522,9.18,13.0,11.09,1.9100000000000001
3523,9.84,1.0,5.42,4.42
3524,9.72,13.0,11.36,1.6399999999999997
3525,9.44,11.0,10.219999999999999,0.7800000000000004
3526,10.55,10.0,10.275,0.27500000000000036
3527,9.71,9.0,9.355,0.3550000000000004
3528,9.74,9.0,9.370000000000001,0.3700000000000001
3529,10.35,10.0,10.175,0.17499999999999982
3530,0.0,8.0,4.0,4.0
3531,0.0,8.0,4.0,4.0
3532,0.0,8.82,4.41,4.41
3533,0.0,9.79,4.895,4.895
3534,2.0,12.62,7.31,5.31
3535,0.0,10.12,5.06,5.06
3536,1.0,10.08,5.54,4.54
3537,0.0,10.09,5.045,5.045
3538,13.0,11.89,12.445,0.5549999999999997
3539,12.0,9.42,10.71,1.29
3540,12.0,8.1,10.05,1.9500000000000002
3541,13.0,7.47,10.235,2.765
3542,11.0,7.18,9.09,1.9100000000000001
3543,10.0,8.92,9.46,0.54
3544,10.0,7.62,8.81,1.19
3545,10.0,7.34,8.67,1.33
3546,11.0,0.0,5.5,5.5
3547,11.0,0.0,5.5,5.5
3548,12.0,1.0,6.5,5.5
3549,11.0,0.0,5.5,5.5
3550,10.28,1.0,5.64,4.64
3551,10.88,0.0,5.44,5.44
3552,14.84,0.0,7.42,7.42
3553,9.48,3.79,6.635,2.845
3554,12.08,12.0,12.04,0.040000000000000036
3555,5.81,12.0,8.905,3.095
3556,7.44,13.0,10.22,2.78
3557,1.0,12.0,6.5,5.5
3558,1.0,12.0,6.5,5.5
3559,0.0,11.0,5.5,5.5
3560,0.0,1.0,0.5,0.5
3561,1.0,12.61,6.805,5.805
3562,1.0,11.0,6.0,5.0
3563,0.0,9.0,4.5,4.5
3564,1.0,9.0,5.0,4.0
3565,0.0,10.0,5.0,5.0
3566,0.0,8.26,4.13,4.13
3567,0.0,8.24,4.12,4.12
3568,0.0,10.6,5.3,5.3
3569,1.0,7.67,4.335,3.335
3570,0.0,9.39,4.695,4.695
3571,0.0,8.29,4.145,4.145
3572,2.0,6.57,4.285,2.285
3573,12.0,5.3,8.65,3.35
3574,11.0,1.0,6.0,5.0
3575,10.0,0.0,5.0,5.0
3576,0.0,0.0,0.0,0.0
3577,8.0,3.0,5.5,2.5
3578,8.0,0.0,4.0,4.0
3579,7.0,0.0,3.5,3.5
3580,8.0,1.0,4.5,3.5
3581,8.99,1.0,4.995,3.995
3582,9.61,0.0,4.805,4.805
3583,7.76,0.0,3.88,3.88
3584,9.31,0.0,4.655,4.655
3585,7.7,0.0,3.85,3.85
3586,7.39,13.0,10.195,2.805
3587,7.73,0.0,3.865,3.865
3588,7.86,11.0,9.43,1.5699999999999998
3589,7.83,12.0,9.915,2.085
3590,7.97,10.0,8.985,1.0150000000000001
3591,6.49,10.0,8.245000000000001,1.755
3592,0.0,0.0,0.0,0.0
3593,1.0,11.0,6.0,5.0
3594,1.0,8.0,4.5,3.5
