,Anchorage_100,Anchorage_101,mean,std
2280,12.0,,12.0,0.0
2295,0.0,,0.0,0.0
2296,0.0,,0.0,0.0
2298,0.0,,0.0,0.0
2300,11.0,,11.0,0.0
2302,10.0,,10.0,0.0
2307,3.0,,3.0,0.0
2309,4.31,,4.31,0.0
2312,1.0,,1.0,0.0
2328,11.0,,11.0,0.0
2329,7.0,,7.0,0.0
2333,6.64,,6.64,0.0
2336,5.63,,5.63,0.0
2340,0.0,,0.0,0.0
2346,10.0,,10.0,0.0
2347,10.0,,10.0,0.0
2354,7.0,,7.0,0.0
2360,0.0,,0.0,0.0
2368,10.0,,10.0,0.0
2376,5.0,,5.0,0.0
2377,8.0,,8.0,0.0
2378,9.6,25.93,17.765,8.165000000000001
2385,5.25,,5.25,0.0
2392,0.0,,0.0,0.0
2404,10.0,,10.0,0.0
2406,6.0,12.18,9.09,3.09
2408,9.2,13.42,11.309999999999999,2.1100000000000003
2410,5.8,,5.8,0.0
2415,0.0,9.61,4.805,4.805
2419,2.29,,2.29,0.0
2428,12.0,,12.0,0.0
2457,1.0,,1.0,0.0
2458,0.0,,0.0,0.0
2460,11.0,,11.0,0.0
2466,10.0,8.16,9.08,0.9199999999999999
2497,6.6,,6.6,0.0
2507,0.0,,0.0,0.0
2516,10.0,,10.0,0.0
2541,0.0,0.0,0.0,0.0
2542,0.0,,0.0,0.0
2555,8.66,,8.66,0.0
2563,1.0,,1.0,0.0
2574,2.0,,2.0,0.0
2578,12.0,,12.0,0.0
2579,11.0,,11.0,0.0
2590,7.48,,7.48,0.0
2595,0.0,,0.0,0.0
2604,1.0,,1.0,0.0
2610,0.0,,0.0,0.0
2615,9.0,,9.0,0.0
2618,9.0,,9.0,0.0
2622,0.0,0.0,0.0,0.0
2627,0.0,,0.0,0.0
2628,0.0,,0.0,0.0
2636,9.0,,9.0,0.0
2637,9.0,,9.0,0.0
2638,8.0,,8.0,0.0
2639,7.0,,7.0,0.0
2645,6.04,5.59,5.8149999999999995,0.2250000000000001
2652,0.0,2.0,1.0,1.0
2656,1.0,,1.0,0.0
2670,10.0,,10.0,0.0
2676,8.5,,8.5,0.0
2683,1.0,,1.0,0.0
2684,1.0,,1.0,0.0
2686,0.0,0.0,0.0,0.0
2695,6.0,,6.0,0.0
2698,6.18,,6.18,0.0
2704,1.0,,1.0,0.0
2707,1.0,9.72,5.36,4.36
2715,0.0,,0.0,0.0
2724,8.41,,8.41,0.0
2729,8.13,,8.13,0.0
2731,7.05,,7.05,0.0
2746,10.0,0.0,5.0,5.0
2770,2.0,0.0,1.0,1.0
2783,9.0,,9.0,0.0
2792,12.41,,12.41,0.0
2795,0.0,,0.0,0.0
2800,0.0,,0.0,0.0
2802,11.0,,11.0,0.0
2822,0.0,,0.0,0.0
2848,0.0,,0.0,0.0
2850,0.0,,0.0,0.0
2861,8.0,,8.0,0.0
2870,9.8,,9.8,0.0
2878,0.0,,0.0,0.0
2886,0.0,,0.0,0.0
2896,8.0,,8.0,0.0
2915,10.0,,10.0,0.0
2919,9.0,,9.0,0.0
2935,0.0,,0.0,0.0
2937,2.0,,2.0,0.0
2938,0.0,0.0,0.0,0.0
2942,1.0,,1.0,0.0
2943,0.0,,0.0,0.0
2954,12.23,,12.23,0.0
2963,2.0,,2.0,0.0
2974,12.0,,12.0,0.0
2976,10.0,9.0,9.5,0.5
2991,0.0,,0.0,0.0
2992,1.0,8.39,4.695,3.6950000000000003
3007,8.0,,8.0,0.0
3008,8.0,,8.0,0.0
3012,9.61,,9.61,0.0
3015,12.72,,12.72,0.0
3020,0.0,,0.0,0.0
3024,0.0,,0.0,0.0
3032,12.0,0.0,6.0,6.0
3037,11.0,,11.0,0.0
3038,10.0,,10.0,0.0
3041,7.0,11.0,9.0,2.0
3061,0.0,,0.0,0.0
3062,0.0,0.0,0.0,0.0
3064,0.0,12.0,6.0,6.0
3067,0.0,,0.0,0.0
3071,16.0,,16.0,0.0
3073,10.0,,10.0,0.0
3079,9.48,,9.48,0.0
3093,0.0,,0.0,0.0
3098,8.0,,8.0,0.0
3101,9.0,,9.0,0.0
3114,3.0,,3.0,0.0
3127,12.0,,12.0,0.0
3133,8.0,9.7,8.85,0.8499999999999996
3140,9.08,,9.08,0.0
3149,7.45,,7.45,0.0
3155,0.0,,0.0,0.0
3156,0.0,,0.0,0.0
3157,0.0,,0.0,0.0
3165,12.0,,12.0,0.0
3169,9.0,,9.0,0.0
3171,8.0,8.4,8.2,0.20000000000000018
3179,8.71,0.0,4.355,4.355
3189,11.0,,11.0,0.0
3195,10.0,10.6,10.3,0.2999999999999998
3206,9.64,,9.64,0.0
3216,2.0,,2.0,0.0
3228,9.0,,9.0,0.0
3236,8.48,,8.48,0.0
3239,8.66,,8.66,0.0
3246,1.0,,1.0,0.0
3258,7.63,,7.63,0.0
3268,13.17,,13.17,0.0
3271,0.0,,0.0,0.0
3273,0.0,,0.0,0.0
3274,1.0,,1.0,0.0
3289,10.0,,10.0,0.0
3295,11.38,,11.38,0.0
3303,26.97,,26.97,0.0
3331,9.65,,9.65,0.0
3337,10.47,,10.47,0.0
3357,12.0,,12.0,0.0
3361,13.0,,13.0,0.0
3362,12.0,,12.0,0.0
3365,11.87,,11.87,0.0
3373,8.64,,8.64,0.0
3377,0.0,,0.0,0.0
3384,0.0,,0.0,0.0
3390,0.0,,0.0,0.0
3395,10.0,,10.0,0.0
3396,11.0,,11.0,0.0
3399,9.0,9.0,9.0,0.0
3401,15.91,,15.91,0.0
3421,0.54,,0.54,0.0
3423,0.51,,0.51,0.0
3443,1.0,,1.0,0.0
3451,9.0,,9.0,0.0
3457,11.23,,11.23,0.0
3500,1.0,,1.0,0.0
3504,0.0,,0.0,0.0
3508,0.0,0.0,0.0,0.0
3530,0.0,13.0,6.5,6.5
3531,0.0,10.0,5.0,5.0
3532,0.0,,0.0,0.0
3537,1.0,,1.0,0.0
3546,10.0,,10.0,0.0
3547,9.0,,9.0,0.0
3556,5.27,,5.27,0.0
3569,2.0,,2.0,0.0
3580,8.0,,8.0,0.0
3582,11.0,,11.0,0.0
3592,0.0,,0.0,0.0
3595,2.0,,2.0,0.0
3596,0.0,,0.0,0.0
3600,1.0,8.15,4.575,3.575
3601,2.0,,2.0,0.0
3604,1.0,,1.0,0.0
3609,10.0,,10.0,0.0
3624,9.18,,9.18,0.0
3632,1.0,,1.0,0.0
3642,12.0,8.85,10.425,1.5750000000000002
3661,0.0,,0.0,0.0
3681,10.3,11.0,10.65,0.34999999999999964
3691,7.31,,7.31,0.0
3700,1.0,,1.0,0.0
3703,0.0,,0.0,0.0
3712,12.0,,12.0,0.0
3713,9.0,,9.0,0.0
3725,0.0,9.12,4.56,4.56
3728,0.0,,0.0,0.0
3750,,,,
3751,,,,
