,Anchorage_100,Anchorage_101,mean,std
3496,0.0,,0.0,0.0
3517,0.0,,0.0,0.0
3533,0.0,,0.0,0.0
3558,1.0,,1.0,0.0
3576,0.0,,0.0,0.0
3577,8.0,,8.0,0.0
3602,0.0,,0.0,0.0
3611,8.0,,8.0,0.0
3612,8.0,,8.0,0.0
3623,8.84,,8.84,0.0
3631,0.0,,0.0,0.0
3639,12.0,,12.0,0.0
3643,9.0,,9.0,0.0
3656,9.3,,9.3,0.0
3668,2.0,,2.0,0.0
3688,6.56,,6.56,0.0
3708,13.0,,13.0,0.0
3711,0.0,,0.0,0.0
3733,1.0,,1.0,0.0
3736,1.0,,1.0,0.0
3744,,,,
3746,0.0,,0.0,0.0
