,Turn_100,Turn_101,mean,std
2958,31.21000000000004,18.76999999999998,24.99000000000001,6.220000000000031
2960,32.26999999999998,,32.26999999999998,0.0
2961,29.76000000000022,34.73000000000002,32.24500000000012,2.4849999999999
2962,38.59999999999991,35.92999999999984,37.26499999999987,1.3350000000000328
2964,29.38000000000011,37.58000000000038,33.480000000000246,4.100000000000136
2965,12.11999999999989,35.19000000000005,23.65499999999997,11.535000000000078
2966,25.25,33.19000000000005,29.220000000000024,3.9700000000000237
2967,22.34999999999991,26.99000000000024,24.670000000000073,2.3200000000001655
2969,23.85000000000036,,23.85000000000036,0.0
2970,52.07000000000016,,52.07000000000016,0.0
2971,46.59999999999991,21.55000000000018,34.075000000000045,12.524999999999864
2972,25.23000000000002,24.50999999999976,24.86999999999989,0.3600000000001309
2973,24.43000000000029,28.13999999999987,26.285000000000082,1.854999999999789
2975,38.84000000000015,19.58999999999969,29.21499999999992,9.625000000000231
2977,48.92000000000007,20.98000000000002,34.950000000000045,13.970000000000026
2978,21.92000000000007,21.03999999999996,21.480000000000015,0.44000000000005457
2979,18.45000000000027,,18.45000000000027,0.0
2980,17.53999999999996,23.30000000000018,20.42000000000007,2.880000000000109
2981,16.59999999999991,34.98999999999978,25.794999999999845,9.194999999999936
2982,18.40000000000009,35.09999999999991,26.75,8.349999999999909
2983,20.05999999999995,32.67999999999984,26.369999999999898,6.309999999999947
2984,45.48000000000002,,45.48000000000002,0.0
2985,32.27999999999975,34.40000000000009,33.33999999999992,1.0600000000001693
2986,34.42000000000007,,34.42000000000007,0.0
2987,35.41999999999962,34.94000000000005,35.179999999999836,0.23999999999978527
2988,28.25,30.56999999999971,29.409999999999854,1.1599999999998545
2989,32.69000000000005,30.9699999999998,31.829999999999924,0.8600000000001238
2990,28.15999999999985,32.12999999999965,30.144999999999747,1.9849999999998982
2993,28.23000000000002,,28.23000000000002,0.0
2994,24.80000000000018,,24.80000000000018,0.0
2995,30.34999999999991,34.05999999999995,32.20499999999993,1.8550000000000217
2996,22.76999999999998,13.17999999999984,17.97499999999991,4.795000000000069
2998,21.86999999999989,22.30000000000018,22.085000000000036,0.21500000000014374
2999,28.08999999999969,25.71000000000004,26.899999999999864,1.1899999999998254
3000,20.69000000000005,21.05999999999995,20.875,0.18499999999994898
3001,31.55000000000018,,31.55000000000018,0.0
3002,24.63999999999987,22.59000000000015,23.61500000000001,1.02499999999986
3003,21.78999999999996,,21.78999999999996,0.0
3004,20.18000000000029,28.18000000000029,24.18000000000029,4.0
3005,44.78999999999996,41.05000000000018,42.92000000000007,1.8699999999998873
3006,25.15999999999985,21.63999999999987,23.39999999999986,1.759999999999991
3009,22.47000000000025,42.58000000000038,32.52500000000032,10.055000000000065
3010,42.25999999999976,18.57000000000016,30.414999999999964,11.844999999999802
