,Cargo_100,Cargo_101,mean,std
3387,12.43,,12.43,0.0
3463,38.629999999999995,,38.629999999999995,0.0
3465,41.480000000000004,,41.480000000000004,0.0
3472,34.230000000000004,,34.230000000000004,0.0
3483,16.5,,16.5,0.0
3485,19.53,,19.53,0.0
3496,32.62,,32.62,0.0
3517,22.11,,22.11,0.0
3533,8.219999999999999,,8.219999999999999,0.0
3558,37.18,,37.18,0.0
3576,36.97,,36.97,0.0
3577,20.58,,20.58,0.0
3602,18.33,,18.33,0.0
3611,12.84,,12.84,0.0
3612,32.83,,32.83,0.0
3623,35.8,,35.8,0.0
3631,6.95,,6.95,0.0
3639,9.77,,9.77,0.0
3643,18.25,,18.25,0.0
3656,17.96,,17.96,0.0
3668,20.17,,20.17,0.0
3688,18.09,,18.09,0.0
3708,8.02,,8.02,0.0
3711,10.55,,10.55,0.0
3733,,,,
3736,,,,
3744,,,,
3746,,,,
