,liq_100,liq_101
318,20.0,12.0
319,13.0,9.0
320,11.0,11.0
321,12.0,12.0
322,11.0,10.0
323,12.0,9.0
324,10.0,8.0
325,9.0,6.0
326,6.0,5.0
327,6.0,4.0
328,3.0,1.0
329,4.0,1.0
330,4.0,1.0
331,5.0,3.0
332,5.0,3.0
333,7.0,5.0
334,7.0,8.0
335,8.0,8.0
336,9.0,8.0
337,12.0,10.0
338,12.0,10.0
339,13.0,11.0
340,14.0,14.0
341,15.0,16.0
342,18.0,17.0
343,14.0,12.0
344,14.0,10.0
345,15.0,9.0
346,13.0,9.0
347,11.0,8.0
348,11.0,7.0
349,9.0,7.0
350,10.0,5.0
351,9.0,5.0
352,6.0,4.0
353,6.0,5.0
354,4.0,4.0
355,4.0,4.0
356,6.0,4.0
357,9.0,5.0
358,10.0,7.0
359,12.0,7.0
360,13.0,9.0
361,14.0,11.0
362,16.0,12.0
363,16.0,12.0
364,16.0,13.0
365,16.0,13.0
366,18.0,14.0
367,16.0,12.0
368,16.0,12.0
369,16.0,13.0
370,14.0,13.0
371,10.0,11.0
372,9.0,10.0
373,11.0,7.0
374,10.0,6.0
375,9.0,3.0
376,9.0,1.0
377,7.0,4.0
378,7.0,3.0
379,7.0,4.0
380,10.0,4.0
381,10.0,5.0
382,12.0,6.0
383,13.0,7.0
384,13.0,8.0
385,14.0,10.0
386,15.0,10.0
387,18.0,10.0
388,18.0,10.0
389,19.0,12.0
390,19.0,12.0
391,13.0,8.0
392,13.0,8.0
393,12.0,8.0
394,12.0,7.0
395,12.0,7.0
396,15.0,7.0
397,13.0,4.0
398,13.0,3.0
399,12.0,2.0
400,11.0,4.0
401,8.0,6.0
402,6.0,6.0
403,6.0,8.0
404,8.0,10.0
405,9.0,11.0
406,9.0,11.0
407,9.0,12.0
408,9.0,13.0
409,9.0,13.0
410,9.0,13.0
411,12.0,14.0
412,12.0,14.0
413,12.0,14.0
414,12.0,14.0
415,11.0,9.0
416,9.0,8.0
417,5.0,6.0
418,5.0,4.0
419,6.0,3.0
420,7.0,2.0
421,6.0,1.0
422,3.0,5.0
423,1.0,5.0
424,0.0,3.0
425,4.0,2.0
426,6.0,1.0
427,8.0,3.0
428,8.0,5.0
429,9.0,5.0
430,10.0,5.0
431,10.0,7.0
432,12.0,9.0
433,15.0,10.0
434,15.0,10.0
435,17.0,10.0
436,18.0,11.0
437,18.0,13.0
438,18.0,14.0
439,16.0,10.0
440,15.0,10.0
441,13.0,11.0
442,14.0,9.0
443,12.0,9.0
444,8.0,6.0
445,6.0,6.0
446,6.0,5.0
447,7.0,5.0
448,5.0,5.0
449,2.0,4.0
450,2.0,2.0
451,2.0,2.0
452,2.0,2.0
453,3.0,2.0
454,3.0,3.0
455,4.0,3.0
456,5.0,3.0
457,5.0,4.0
458,6.0,6.0
459,7.0,7.0
460,8.0,8.0
461,11.0,8.0
462,12.0,9.0
463,11.0,8.0
464,11.0,9.0
465,11.0,11.0
466,10.0,12.0
467,9.0,11.0
468,8.0,9.0
469,9.0,8.0
470,9.0,6.0
471,12.0,4.0
472,12.0,2.0
473,9.0,3.0
474,6.0,3.0
475,6.0,7.0
476,7.0,7.0
477,11.0,8.0
478,12.0,12.0
479,13.0,12.0
480,14.0,14.0
481,14.0,15.0
482,16.0,15.0
483,16.0,18.0
484,16.0,18.0
485,16.0,18.0
486,17.0,19.0
487,13.0,17.0
488,10.0,14.0
489,10.0,12.0
490,8.0,11.0
491,9.0,12.0
492,9.0,13.0
493,8.0,9.0
494,5.0,5.0
495,3.0,3.0
496,1.0,1.0
497,2.0,2.0
498,2.0,3.0
499,2.0,4.0
500,2.0,5.0
501,3.0,5.0
502,7.0,6.0
503,9.0,7.0
504,9.0,9.0
505,9.0,9.0
506,9.0,10.0
507,10.0,12.0
508,12.0,16.0
509,13.0,17.0
510,13.0,19.0
511,14.0,18.0
512,13.0,18.0
513,13.0,19.0
514,12.0,17.0
515,12.0,16.0
516,9.0,15.0
517,9.0,14.0
518,8.0,10.0
519,11.0,9.0
520,9.0,7.0
521,8.0,5.0
522,8.0,5.0
523,8.0,5.0
524,10.0,6.0
525,12.0,7.0
526,14.0,8.0
527,15.0,8.0
528,15.0,8.0
529,17.0,9.0
530,19.0,10.0
531,19.0,10.0
532,21.0,11.0
533,23.0,12.0
534,25.0,12.0
535,22.0,11.0
536,21.0,7.0
537,18.0,8.0
538,18.0,9.0
539,17.0,8.0
540,15.0,9.0
541,14.0,9.0
542,13.0,8.0
543,11.0,7.0
544,9.0,3.0
545,10.0,3.0
546,8.0,0.0
547,9.0,1.0
548,10.0,4.0
549,13.0,7.0
550,14.0,7.0
551,15.0,8.0
552,16.0,8.0
553,19.0,9.0
554,21.0,10.0
555,21.0,11.0
556,23.0,15.0
557,26.0,15.0
558,28.0,16.0
559,28.0,15.0
560,27.0,14.0
561,22.0,14.0
562,18.0,15.0
563,19.0,14.0
564,18.0,11.0
565,18.0,9.0
566,18.0,10.0
567,16.0,8.0
568,14.0,7.0
569,14.0,7.0
570,13.0,4.0
571,13.0,4.0
572,14.0,5.0
573,14.0,5.0
574,17.0,6.0
575,18.0,7.0
576,18.0,10.0
577,21.0,14.0
578,23.0,15.0
579,23.0,17.0
580,24.0,17.0
581,24.0,20.0
582,25.0,21.0
583,21.0,18.0
584,18.0,16.0
585,17.0,15.0
586,19.0,14.0
587,18.0,13.0
588,16.0,13.0
589,14.0,14.0
590,13.0,12.0
591,10.0,11.0
592,11.0,10.0
593,12.0,11.0
594,9.0,10.0
595,9.0,11.0
596,12.0,13.0
597,12.0,14.0
598,13.0,14.0
599,14.0,15.0
600,14.0,16.0
601,14.0,17.0
602,16.0,21.0
603,17.0,22.0
604,17.0,24.0
605,18.0,31.0
606,19.0,31.0
607,16.0,26.0
608,14.0,25.0
609,13.0,25.0
610,11.0,28.0
611,8.0,31.0
612,11.0,32.0
613,12.0,33.0
614,8.0,33.0
615,10.0,31.0
616,9.0,28.0
617,6.0,28.0
618,5.0,28.0
619,5.0,28.0
620,5.0,30.0
621,5.0,31.0
622,6.0,32.0
623,7.0,33.0
624,7.0,33.0
625,10.0,33.0
626,11.0,34.0
627,11.0,37.0
628,11.0,38.0
629,11.0,38.0
630,12.0,38.0
631,10.0,33.0
632,10.0,32.0
633,10.0,30.0
634,13.0,29.0
635,10.0,26.0
636,11.0,24.0
637,8.0,24.0
638,8.0,23.0
639,10.0,23.0
640,6.0,22.0
641,3.0,19.0
642,4.0,17.0
643,4.0,17.0
644,5.0,17.0
645,5.0,18.0
646,5.0,19.0
647,6.0,21.0
648,9.0,22.0
649,9.0,23.0
650,10.0,23.0
651,11.0,24.0
652,12.0,24.0
653,13.0,26.0
654,15.0,27.0
655,13.0,24.0
656,14.0,22.0
657,14.0,19.0
658,12.0,18.0
659,13.0,17.0
660,13.0,14.0
661,13.0,13.0
662,13.0,15.0
663,9.0,12.0
664,7.0,10.0
665,8.0,11.0
666,5.0,9.0
667,5.0,11.0
668,7.0,15.0
669,7.0,18.0
670,8.0,19.0
671,9.0,19.0
672,9.0,20.0
673,9.0,21.0
674,9.0,22.0
675,11.0,24.0
676,11.0,24.0
677,11.0,25.0
678,12.0,29.0
679,12.0,27.0
680,9.0,23.0
681,10.0,21.0
682,10.0,19.0
683,11.0,17.0
684,7.0,15.0
685,6.0,17.0
686,6.0,17.0
687,6.0,17.0
688,9.0,18.0
689,5.0,16.0
690,8.0,12.0
691,10.0,13.0
692,11.0,13.0
693,12.0,14.0
694,13.0,15.0
695,13.0,17.0
696,13.0,18.0
697,13.0,18.0
698,15.0,19.0
699,15.0,19.0
700,18.0,20.0
701,19.0,21.0
702,21.0,22.0
703,16.0,18.0
704,13.0,14.0
705,13.0,11.0
706,12.0,10.0
707,13.0,9.0
708,14.0,8.0
709,16.0,9.0
710,15.0,8.0
711,15.0,6.0
712,10.0,5.0
713,5.0,7.0
714,3.0,8.0
715,4.0,10.0
716,4.0,12.0
717,7.0,13.0
718,10.0,14.0
719,13.0,14.0
720,15.0,15.0
721,17.0,15.0
722,19.0,15.0
723,20.0,16.0
724,20.0,16.0
725,20.0,17.0
726,20.0,20.0
727,18.0,15.0
728,14.0,11.0
729,12.0,11.0
730,11.0,11.0
731,10.0,8.0
732,13.0,9.0
733,10.0,11.0
734,12.0,10.0
735,10.0,8.0
736,7.0,7.0
737,7.0,3.0
738,6.0,1.0
739,6.0,1.0
740,6.0,2.0
741,6.0,3.0
742,9.0,4.0
743,9.0,4.0
744,11.0,7.0
745,12.0,7.0
746,13.0,8.0
747,14.0,9.0
748,15.0,10.0
749,16.0,10.0
750,17.0,12.0
751,15.0,10.0
