,lambda_multiplier,entries,exits,lambda
0,1.0,3774.5,3770.0,1.3
1,0.5,1868.5,1867.5,0.65
2,1.5,5510.0,4619.0,1.9500000000000002
3,2.5,9283.5,5080.5,3.25
4,3.5,13133.0,5237.5,4.55
5,4.5,16753.5,5293.0,5.8500000000000005
