Arrival Rate,Mean Anchorage Queue Length
0.7,6.6000000000000005
0.8999999999999999,9.6
1.0999999999999999,17.8
1.2999999999999998,224.79999999999998
1.4999999999999998,555.4
1.6999999999999997,970.8000000000001
1.8999999999999997,1424.6999999999998
2.0999999999999996,1940.8000000000002
2.3,2426.4
2.4999999999999996,2833.9999999999995
2.6999999999999993,3324.7
2.8999999999999995,3811.7000000000003
3.0999999999999996,4412.8
3.2999999999999994,4854.6
3.499999999999999,5403.0
3.6999999999999993,5754.099999999999
3.8999999999999995,6373.7
4.1,6824.9
4.299999999999999,7231.200000000001
4.499999999999999,7793.700000000001
4.699999999999999,8436.9
4.899999999999999,8815.599999999999
