,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
3134,0.0,,,,0.0,0.0
3139,0.0,,,,0.0,0.0
3149,0.0,,,,0.0,0.0
3160,10.56,,,13.93,12.245000000000001,1.6849999999999996
3169,0.0,,,,0.0,0.0
3197,0.0,,,12.64,6.32,6.32
3199,0.0,,,,0.0,0.0
3218,10.24,,,1.0,5.62,4.62
3219,11.37,,,,11.37,0.0
3221,11.5,,,,11.5,0.0
3224,12.81,,,,12.81,0.0
3237,0.0,,,0.0,0.0,0.0
3244,0.0,,,,0.0,0.0
3245,0.0,,,,0.0,0.0
3256,10.52,,,,10.52,0.0
3291,10.46,,,,10.46,0.0
3303,0.0,,,0.0,0.0,0.0
3312,8.0,,,,8.0,0.0
3322,0.0,,,1.0,0.5,0.5
3335,8.0,0.0,,6.0,4.666666666666667,3.39934634239519
3336,6.0,,,,6.0,0.0
3337,0.0,,,,0.0,0.0
3342,8.1,,,,8.1,0.0
3358,0.0,,,,0.0,0.0
3362,9.0,,,5.0,7.0,2.0
3385,1.0,,,,1.0,0.0
3406,6.46,5.32,,,5.890000000000001,0.5699999999999998
3407,8.26,,,,8.26,0.0
3424,9.0,,8.05,,8.525,0.47499999999999964
3426,6.79,,,,6.79,0.0
3433,1.0,,,,1.0,0.0
3441,0.0,,,,0.0,0.0
3470,13.0,,,,13.0,0.0
3477,10.0,,,,10.0,0.0
3485,10.81,9.54,,,10.175,0.6350000000000007
3486,10.4,,,,10.4,0.0
3523,0.0,,,,0.0,0.0
3528,12.0,,,1.0,6.5,5.5
3557,0.0,,,,0.0,0.0
3562,13.0,,0.0,,6.5,6.5
3563,11.0,,,,11.0,0.0
3581,0.0,,,,0.0,0.0
3611,0.0,,,,0.0,0.0
3621,0.0,,,,0.0,0.0
3639,0.0,,,13.0,6.5,6.5
3677,0.0,,,,0.0,0.0
3689,9.19,,,,9.19,0.0
3693,8.620000000000001,,,,8.620000000000001,0.0
3696,9.18,,,,9.18,0.0
3717,10.89,1.0,,,5.945,4.945
3720,9.61,0.0,,,4.805,4.805
3722,8.690000000000001,,,,8.690000000000001,0.0
3739,0.0,,,,0.0,0.0
3749,0.0,,,12.49,6.245,6.245
3756,7.99,,,,7.99,0.0
3759,9.27,,,8.32,8.795,0.47499999999999964
3761,8.72,,,1.0,4.86,3.8600000000000003
3767,0.0,10.0,,,5.0,5.0
3772,1.0,,,,1.0,0.0
3786,0.0,,,0.0,0.0,0.0
3787,8.64,,,,8.64,0.0
3789,8.1,,,,8.1,0.0
3794,0.0,,,,0.0,0.0
3799,0.0,,,,0.0,0.0
3802,0.0,,,,0.0,0.0
3835,0.0,,,,0.0,0.0
3836,0.0,,,,0.0,0.0
3852,7.46,,,,7.46,0.0
3854,6.82,,,,6.82,0.0
3856,6.9,,,,6.9,0.0
3873,11.0,,,,11.0,0.0
3879,0.0,,,,0.0,0.0
3890,9.01,,,,9.01,0.0
3906,0.0,,,,0.0,0.0
3922,11.59,,,,11.59,0.0
3935,0.0,,,,0.0,0.0
3938,13.0,,12.0,,12.5,0.5
3945,0.0,,,,0.0,0.0
3955,12.2,,10.92,,11.559999999999999,0.6399999999999997
3969,0.0,,,,0.0,0.0
3976,12.0,,7.61,,9.805,2.195
4033,8.35,,,,8.35,0.0
4039,1.0,,,,1.0,0.0
4054,8.7,,,,8.7,0.0
4062,8.93,0.0,,,4.465,4.465
4080,9.0,,,,9.0,0.0
4089,26.34,,,,26.34,0.0
4095,0.0,,,,0.0,0.0
4132,0.0,,0.0,,0.0,0.0
4167,0.0,,,,0.0,0.0
4184,1.0,,,,1.0,0.0
4185,0.0,,,,0.0,0.0
4241,8.309999999999999,,,,8.309999999999999,0.0
4279,0.0,,,,0.0,0.0
4289,0.0,,,8.54,4.27,4.27
4290,7.0,,,,7.0,0.0
4295,8.83,,,,8.83,0.0
4314,4.0,,,,4.0,0.0
4335,0.0,,,,0.0,0.0
4363,0.0,,,,0.0,0.0
4372,0.0,,,,0.0,0.0
4396,0.0,,,,0.0,0.0
4409,0.0,0.0,,,0.0,0.0
4424,1.0,,,,1.0,0.0
4432,0.0,,,,0.0,0.0
4433,1.0,,,,1.0,0.0
4454,9.11,,,,9.11,0.0
4478,0.0,,,,0.0,0.0
4495,0.0,,,,0.0,0.0
4508,7.99,,0.0,,3.995,3.995
4548,8.09,,,,8.09,0.0
4568,1.0,,,,1.0,0.0
4572,10.0,,,,10.0,0.0
4577,0.0,,,,0.0,0.0
4579,7.0,,,,7.0,0.0
4589,0.0,,,,0.0,0.0
4608,10.39,,,,10.39,0.0
4616,0.0,,,,0.0,0.0
4627,12.0,,,,12.0,0.0
4635,8.0,6.0,,0.0,4.666666666666667,3.39934634239519
4644,9.34,5.97,,,7.654999999999999,1.685
4650,11.88,,,,11.88,0.0
4660,1.0,,,,1.0,0.0
4673,11.0,,5.94,,8.47,2.53
4678,9.0,2.0,,,5.5,3.5
4694,1.0,,,,1.0,0.0
4701,0.0,,,,0.0,0.0
4713,7.44,,,,7.44,0.0
4724,0.0,,,,0.0,0.0
4727,1.0,,,,1.0,0.0
4746,10.4,,1.0,,5.7,4.7
4756,12.86,,,,12.86,0.0
4771,0.0,,,,0.0,0.0
4778,8.74,,,0.0,4.37,4.37
4787,11.76,,,,11.76,0.0
4801,9.23,,,,9.23,0.0
4810,13.3,,,,13.3,0.0
4827,11.0,,,,11.0,0.0
4829,0.0,,,,0.0,0.0
4837,9.04,,,,9.04,0.0
4838,11.33,,,,11.33,0.0
4850,2.0,,,,2.0,0.0
4855,0.0,,,,0.0,0.0
4872,0.0,,,,0.0,0.0
4890,0.0,,,,0.0,0.0
4900,0.0,,,,0.0,0.0
4901,0.0,,,,0.0,0.0
4905,0.0,,,,0.0,0.0
4922,9.3,,,,9.3,0.0
4923,8.18,,0.0,,4.09,4.09
4926,8.05,,,11.46,9.755,1.705
4927,7.25,,,,7.25,0.0
4955,0.0,,,,0.0,0.0
4980,0.0,,,,0.0,0.0
5010,1.0,,,,1.0,0.0
5011,0.0,,,,0.0,0.0
5044,1.0,,,,1.0,0.0
5062,7.57,,0.0,,3.785,3.785
5065,2.0,,,,2.0,0.0
5071,1.0,,,,1.0,0.0
5072,3.0,,,,3.0,0.0
5088,0.0,12.21,,,6.105,6.105
5109,1.0,,,,1.0,0.0
5113,0.0,,,,0.0,0.0
5114,0.0,,,,0.0,0.0
5115,0.0,,,,0.0,0.0
5163,7.7,,,,7.7,0.0
5171,1.0,,,,1.0,0.0
5189,6.0,,,,6.0,0.0
5207,0.0,,0.0,,0.0,0.0
5216,3.79,,,,3.79,0.0
5220,0.0,,,,0.0,0.0
5224,1.0,,,,1.0,0.0
5285,0.0,,,,0.0,0.0
5295,9.22,,,,9.22,0.0
5301,0.0,,0.0,,0.0,0.0
5326,9.79,0.0,,,4.895,4.895
5353,9.47,,,,9.47,0.0
5380,10.0,,,,10.0,0.0
5403,0.0,,,,0.0,0.0
5411,0.0,,,,0.0,0.0
5423,12.0,,,,12.0,0.0
5445,1.0,,,,1.0,0.0
5448,0.0,8.0,,,4.0,4.0
5449,1.0,,,,1.0,0.0
5458,7.0,,,,7.0,0.0
5473,11.17,1.0,,,6.085,5.085
5504,1.0,,,11.66,6.33,5.33
5514,2.0,,,12.05,7.025,5.025
5520,,,,0.0,0.0,0.0
