,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
4925,20.0,,,21.0,20.5,0.5
4928,4.0,24.0,,,14.0,10.0
4935,27.0,,,,27.0,0.0
4938,21.0,,,,21.0,0.0
4941,18.0,,,,18.0,0.0
4945,20.0,,,,20.0,0.0
4954,4.0,,,,4.0,0.0
4958,22.0,,,4.0,13.0,9.0
4962,24.0,,,4.0,14.0,10.0
4965,24.0,,30.0,,27.0,3.0
4969,26.0,,,,26.0,0.0
4974,18.0,,,,18.0,0.0
4975,18.0,,,,18.0,0.0
4995,19.0,,20.0,,19.5,0.5
4999,6.0,,,,6.0,0.0
5013,17.0,,22.0,,19.5,2.5
5020,27.0,,,,27.0,0.0
5027,19.0,,,,19.0,0.0
5028,7.0,,,,7.0,0.0
5035,25.0,,30.0,,27.5,2.5
5048,19.0,,18.0,,18.5,0.5
5050,4.0,,,,4.0,0.0
5054,7.0,,,,7.0,0.0
5059,24.0,,,,24.0,0.0
5078,17.0,,,,17.0,0.0
5084,7.0,30.0,,20.0,19.0,9.41629792788369
5100,25.0,,31.0,,28.0,3.0
5108,4.0,,,,4.0,0.0
5110,4.0,,,28.0,16.0,12.0
5142,24.0,,,19.0,21.5,2.5
5148,21.0,,,,21.0,0.0
5152,4.0,29.0,,4.0,12.333333333333334,11.785113019775793
5160,4.0,,,,4.0,0.0
5176,19.0,21.0,,,20.0,1.0
5188,7.0,4.0,43.0,,18.0,17.72004514666935
5197,20.0,,,,20.0,0.0
5200,28.0,19.0,,24.0,23.666666666666668,3.681787005729087
5202,4.0,,23.0,,13.5,9.5
5205,19.0,,,30.0,24.5,5.5
5214,8.0,,42.0,,25.0,17.0
5229,21.0,,,,21.0,0.0
5244,30.0,,,,30.0,0.0
5249,26.0,24.0,,,25.0,1.0
5267,21.0,,,,21.0,0.0
5270,18.0,8.0,,,13.0,5.0
5280,4.0,,,,4.0,0.0
5282,25.0,,,,25.0,0.0
5290,19.0,,,,19.0,0.0
5300,27.0,,,,27.0,0.0
5311,19.0,,,,19.0,0.0
5315,7.0,,,,7.0,0.0
5319,31.0,23.0,,,27.0,4.0
5339,20.0,,,,20.0,0.0
5349,4.0,,,,4.0,0.0
5362,18.0,24.0,,,21.0,3.0
5372,27.0,,,,27.0,0.0
5374,4.0,,,,4.0,0.0
5378,7.0,,,23.0,15.0,8.0
5379,31.0,,,,31.0,0.0
5381,25.0,,4.0,,14.5,10.5
5388,20.0,,,,20.0,0.0
5390,23.0,,,,23.0,0.0
5395,20.0,,,,20.0,0.0
5399,7.0,22.0,,,14.5,7.5
5400,4.0,,20.0,21.0,15.0,7.788880963698615
5402,4.0,,,,4.0,0.0
5415,22.0,7.0,,,14.5,7.5
5425,8.0,,,,8.0,0.0
5426,4.0,,,,4.0,0.0
5433,25.0,,,,25.0,0.0
5441,4.0,,,,4.0,0.0
5452,8.0,,,,8.0,0.0
5455,4.0,,,,4.0,0.0
5471,4.0,,,,4.0,0.0
5483,,,,43.0,43.0,0.0
5484,17.0,,,,17.0,0.0
5487,6.0,,,,6.0,0.0
5489,,,,23.0,23.0,0.0
5498,,,,,,
5508,,,,,,
5509,,,,,,
5511,,,,30.0,30.0,0.0
