,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1008,0.0,,,,0.0,0.0
1018,11.0,,,11.0,11.0,0.0
1020,9.0,,,,9.0,0.0
1030,1.0,,,,1.0,0.0
1031,0.0,,,,0.0,0.0
1033,0.0,,0.0,9.65,3.216666666666667,4.549053625633456
1053,0.0,,9.0,10.29,6.43,4.5770951486723535
1061,0.0,,,,0.0,0.0
1064,0.0,,,,0.0,0.0
1077,3.0,,,,3.0,0.0
1089,4.92,,,,4.92,0.0
1095,0.0,,,,0.0,0.0
1099,1.0,0.0,,,0.5,0.5
1103,0.0,,,,0.0,0.0
1105,0.0,8.0,,,4.0,4.0
1123,7.86,,0.0,,3.93,3.93
1132,1.0,,,,1.0,0.0
1147,7.0,,,,7.0,0.0
1148,8.23,0.0,,5.0,4.41,3.3856855534243975
1152,0.0,,,,0.0,0.0
1157,2.0,,,,2.0,0.0
1173,6.36,,,,6.36,0.0
1182,0.0,,,,0.0,0.0
1188,1.0,,,,1.0,0.0
1189,0.0,,,,0.0,0.0
1191,1.0,,9.0,9.16,6.386666666666667,3.809508571398095
1197,11.0,,,,11.0,0.0
1206,11.0,,,,11.0,0.0
1208,11.49,,,,11.49,0.0
1209,8.99,8.0,,,8.495000000000001,0.4950000000000001
1222,3.32,,7.29,,5.305,1.985
1236,7.0,,,,7.0,0.0
1238,8.42,,,11.0,9.71,1.29
1253,0.0,,,,0.0,0.0
1254,0.0,,,,0.0,0.0
1264,7.0,,,,7.0,0.0
1265,5.0,,,,5.0,0.0
1272,1.0,,,8.59,4.795,3.795
1275,0.0,,,,0.0,0.0
1278,0.0,,11.0,,5.5,5.5
1291,0.0,10.6,,,5.3,5.3
1292,0.0,10.7,10.65,,7.116666666666667,5.032284658968418
1302,11.0,6.74,,,8.870000000000001,2.13
1308,10.0,,,,10.0,0.0
1312,7.0,2.0,,,4.5,2.5
1329,8.35,,,,8.35,0.0
1337,0.0,,11.96,,5.98,5.98
1342,12.0,,,8.9,10.45,1.5499999999999998
1349,10.51,,,,10.51,0.0
1359,9.1,,,,9.1,0.0
1361,0.0,0.0,,,0.0,0.0
1379,6.0,,,,6.0,0.0
1386,4.81,,,,4.81,0.0
1389,0.0,,,,0.0,0.0
1391,1.0,,,8.79,4.895,3.8949999999999996
1395,11.0,,,,11.0,0.0
1400,5.0,5.88,,,5.4399999999999995,0.43999999999999995
1418,0.0,,,,0.0,0.0
1427,9.0,,,,9.0,0.0
1432,7.0,,,,7.0,0.0
1438,8.87,,,,8.87,0.0
1447,1.0,,8.0,14.0,7.666666666666667,5.312459150169743
1450,1.0,,,,1.0,0.0
1456,10.0,0.0,,,5.0,5.0
1468,8.280000000000001,11.0,,8.51,9.263333333333334,1.23159336723702
1473,0.0,2.0,,0.0,0.6666666666666666,0.9428090415820634
1474,0.0,,,0.0,0.0,0.0
1488,9.0,,,,9.0,0.0
1496,7.22,,,,7.22,0.0
1504,0.0,,1.0,,0.5,0.5
1505,0.0,,2.0,,1.0,1.0
1512,10.0,,,,10.0,0.0
1517,9.0,,,,9.0,0.0
1522,8.43,,9.59,,9.01,0.5800000000000001
1525,0.0,,9.64,,4.82,4.82
1526,2.0,0.0,,,1.0,1.0
1529,0.0,,0.0,,0.0,0.0
1537,12.0,,,,12.0,0.0
1540,11.0,,,,11.0,0.0
1546,10.0,,,,10.0,0.0
1554,9.89,,,10.0,9.945,0.054999999999999716
1568,0.0,,1.99,,0.995,0.995
1570,13.0,,,,13.0,0.0
1580,7.12,,,,7.12,0.0
1585,6.35,,,,6.35,0.0
1588,0.0,,,,0.0,0.0
1592,1.0,,,,1.0,0.0
1596,12.0,,,,12.0,0.0
1598,9.0,,,,9.0,0.0
1600,7.0,,,,7.0,0.0
1603,8.12,,,,8.12,0.0
1604,8.2,6.91,,,7.555,0.6449999999999996
1606,6.63,,,,6.63,0.0
1617,1.0,,,,1.0,0.0
1626,10.0,,,3.03,6.515,3.485
1633,7.0,,,,7.0,0.0
1638,7.71,,,6.0,6.855,0.855
1643,9.32,0.0,0.0,,3.106666666666667,4.393490133772415
1648,9.06,,,,9.06,0.0
1652,5.72,,,,5.72,0.0
1656,4.99,,,,4.99,0.0
1668,10.0,,,,10.0,0.0
1669,9.0,5.0,,7.3,7.1000000000000005,1.6391054470858994
1674,12.98,,,,12.98,0.0
1690,0.0,,,,0.0,0.0
1696,10.0,,,,10.0,0.0
1698,9.0,,,,9.0,0.0
1701,8.0,,,,8.0,0.0
1703,9.44,,8.48,6.7,8.206666666666667,1.1351749742758699
1710,7.67,,3.0,,5.335,2.335
1714,0.0,,,,0.0,0.0
1716,0.0,,,,0.0,0.0
1717,0.2,,,,0.2,0.0
1718,2.97,,0.0,,1.485,1.485
1742,9.91,,,,9.91,0.0
1753,0.0,,5.0,,2.5,2.5
1765,12.0,,,,12.0,0.0
1770,10.0,,,8.0,9.0,1.0
1774,10.27,6.0,,,8.135,2.135
1778,12.39,,,,12.39,0.0
1780,11.0,,,,11.0,0.0
1790,0.0,,,0.0,0.0,0.0
1815,10.0,,,,10.0,0.0
1823,1.0,0.0,,,0.5,0.5
1839,6.85,29.13,10.0,,15.326666666666666,9.844783164476278
1848,26.29,,,,26.29,0.0
1849,2.0,29.85,,,15.925,13.925
1851,0.0,,,,0.0,0.0
1855,0.0,,,8.0,4.0,4.0
1858,0.0,,,,0.0,0.0
1861,1.0,,,4.63,2.815,1.815
1874,10.45,,,,10.45,0.0
1883,28.76,15.0,,,21.880000000000003,6.880000000000001
1886,0.0,,,,0.0,0.0
1892,20.0,,,,20.0,0.0
1893,20.0,,0.0,,10.0,10.0
1905,14.73,,12.0,,13.365,1.3650000000000002
1916,1.0,,,,1.0,0.0
1921,0.0,,,,0.0,0.0
1922,0.0,,1.0,,0.5,0.5
1933,9.05,,,,9.05,0.0
1934,10.0,,,,10.0,0.0
1937,11.98,,,,11.98,0.0
1943,1.0,,,,1.0,0.0
1947,0.0,0.0,,,0.0,0.0
1951,12.0,,,,12.0,0.0
1955,11.0,,0.0,,5.5,5.5
1956,7.0,,,,7.0,0.0
1972,0.0,,,,0.0,0.0
1975,0.0,,,,0.0,0.0
1978,1.0,1.0,,,1.0,0.0
1980,0.0,,25.41,,12.705,12.705
1981,0.0,,,24.36,12.18,12.18
1984,13.0,,,,13.0,0.0
1986,10.0,,,,10.0,0.0
1990,8.0,,,,8.0,0.0
1992,8.0,10.0,,,9.0,1.0
1995,12.92,,,19.0,15.96,3.04
1997,12.57,,,18.0,15.285,2.715
2003,6.83,,,,6.83,0.0
2004,5.02,6.55,,,5.785,0.7650000000000001
2008,4.529999999999999,,,,4.529999999999999,0.0
2015,1.18,0.0,2.74,0.0,0.98,1.124544352171136
2031,7.0,,,,7.0,0.0
2047,1.0,,,,1.0,0.0
2057,7.95,,,,7.95,0.0
2073,0.0,,0.0,9.0,3.0,4.242640687119285
2084,10.0,,,,10.0,0.0
2090,35.42,,,,35.42,0.0
2104,25.0,28.44,0.0,,17.813333333333333,12.673976837949835
2108,21.0,,13.0,5.0,13.0,6.531972647421808
2110,33.0,,,,33.0,0.0
2111,32.85,,,,32.85,0.0
2116,29.6,,13.0,,21.3,8.3
2121,29.47,17.43,,,23.45,6.02
2130,7.0,,,,7.0,0.0
2139,17.0,,,,17.0,0.0
2158,24.77,,,,24.77,0.0
2161,6.6,,,,6.6,0.0
2166,5.97,,,,5.97,0.0
2167,4.07,,,,4.07,0.0
2169,0.56,27.44,,,14.0,13.44
2172,0.13,,,40.0,20.065,19.935
2173,2.5,25.53,,,14.015,11.515
2185,11.14,,31.86,,21.5,10.36
2193,5.7,,,27.0,16.35,10.65
2194,6.38,24.56,,,15.469999999999999,9.09
