,Beam Out,Draft Out,Daylight Out,Total Out
"(-1, 0]",90.16480595427964,93.67357788410419,81.58220024721878,56.43915003219575
"(0, 1]",5.475810738968634,1.674641148325359,0.0,17.933032839665163
"(1, 2]",2.2328548644338118,2.8708133971291865,0.030902348578491962,7.147456535737283
"(2, 3]",1.2227538543328018,1.1961722488038278,0.030902348578491962,2.8010302640051514
"(3, 4]",0.3189792663476874,0.3721424774056353,0.030902348578491962,0.643915003219575
"(4, 5]",0.3987240829346092,0.18607123870281764,0.3399258343634116,0.25756600128783
"(5, 6]",0.07974481658692185,0.026581605528973953,0.7416563658838072,0.4829362524146813
"(6, 7]",0.07974481658692185,0.0,1.6687268232385661,1.2234385061171926
"(7, 8]",0.0,0.0,3.2756489493201486,2.350289761751449
"(8, 9]",0.0,0.0,5.686032138442522,4.539600772698004
"(9, 10]",0.026581605528973953,0.0,6.61310259579728,6.181584030907921
