,db_100,db_101,db_102,db_103
176,2.0,2.0,0.0,4.0
177,2.0,2.0,0.0,4.0
178,2.0,2.0,0.0,3.0
179,1.0,2.0,0.0,3.0
180,1.0,1.0,0.0,2.0
181,1.0,0.0,0.0,2.0
182,1.0,0.0,0.0,1.0
183,0.0,1.0,1.0,1.0
184,0.0,1.0,2.0,0.0
185,0.0,1.0,1.0,0.0
186,0.0,1.0,1.0,0.0
187,0.0,1.0,1.0,1.0
188,0.0,1.0,1.0,1.0
189,0.0,1.0,2.0,2.0
190,0.0,1.0,2.0,3.0
191,0.0,1.0,3.0,3.0
192,0.0,1.0,3.0,3.0
193,0.0,1.0,3.0,3.0
194,0.0,2.0,3.0,3.0
195,0.0,2.0,3.0,3.0
196,0.0,2.0,3.0,3.0
197,0.0,2.0,3.0,4.0
198,0.0,3.0,3.0,4.0
199,0.0,2.0,2.0,2.0
200,0.0,2.0,0.0,2.0
201,1.0,2.0,0.0,2.0
202,1.0,2.0,0.0,2.0
203,1.0,2.0,0.0,2.0
204,1.0,3.0,0.0,2.0
205,1.0,2.0,1.0,3.0
206,1.0,2.0,2.0,3.0
207,2.0,0.0,4.0,2.0
208,2.0,0.0,4.0,1.0
209,1.0,0.0,3.0,0.0
210,0.0,0.0,1.0,0.0
211,0.0,1.0,1.0,0.0
212,0.0,1.0,1.0,0.0
213,1.0,1.0,1.0,0.0
214,1.0,1.0,2.0,0.0
215,1.0,1.0,2.0,0.0
216,2.0,1.0,2.0,0.0
217,2.0,1.0,2.0,0.0
218,2.0,1.0,2.0,1.0
219,3.0,1.0,2.0,1.0
220,3.0,1.0,2.0,1.0
221,3.0,1.0,3.0,3.0
222,3.0,1.0,3.0,5.0
223,1.0,1.0,3.0,5.0
224,0.0,0.0,4.0,5.0
225,0.0,0.0,4.0,5.0
226,0.0,0.0,4.0,6.0
227,1.0,1.0,4.0,6.0
228,1.0,1.0,3.0,6.0
229,1.0,2.0,3.0,4.0
230,0.0,1.0,3.0,2.0
231,0.0,1.0,1.0,1.0
232,0.0,1.0,1.0,0.0
233,0.0,1.0,1.0,0.0
234,0.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0
237,1.0,2.0,1.0,1.0
238,1.0,2.0,2.0,1.0
239,1.0,2.0,2.0,1.0
240,2.0,2.0,2.0,1.0
241,2.0,2.0,2.0,1.0
242,3.0,2.0,2.0,1.0
243,3.0,3.0,2.0,1.0
244,4.0,3.0,2.0,2.0
245,4.0,4.0,2.0,2.0
246,4.0,4.0,2.0,2.0
247,5.0,3.0,1.0,3.0
248,6.0,2.0,1.0,3.0
249,4.0,1.0,0.0,3.0
250,2.0,1.0,1.0,2.0
251,2.0,1.0,1.0,2.0
252,2.0,0.0,2.0,3.0
253,1.0,0.0,1.0,2.0
254,1.0,0.0,1.0,2.0
255,1.0,0.0,0.0,1.0
256,1.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0
258,1.0,0.0,1.0,0.0
259,2.0,0.0,1.0,0.0
260,2.0,0.0,1.0,0.0
261,2.0,0.0,1.0,0.0
262,2.0,0.0,1.0,0.0
263,2.0,0.0,1.0,0.0
264,2.0,0.0,1.0,0.0
265,2.0,0.0,1.0,0.0
266,2.0,0.0,1.0,0.0
