,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
2996,39.730000000000004,,22.27,,31.0,8.730000000000002
2998,16.84,,,,16.84,0.0
3036,9.57,,,,9.57,0.0
3057,10.629999999999999,,,,10.629999999999999,0.0
3064,40.72,,,,40.72,0.0
3066,17.33,,,,17.33,0.0
3084,18.4,,,,18.4,0.0
3085,10.83,,,,10.83,0.0
3092,11.379999999999999,,,,11.379999999999999,0.0
3127,18.35,20.630000000000003,,,19.490000000000002,1.1400000000000006
3134,20.15,,,,20.15,0.0
3139,18.32,,,,18.32,0.0
3149,4.93,,,,4.93,0.0
3160,23.0,,,4.2,13.6,9.399999999999999
3169,9.87,,,,9.87,0.0
3197,9.25,,,7.6,8.425,0.8250000000000002
3199,14.47,,,,14.47,0.0
3218,14.9,,,20.68,17.79,2.8899999999999997
3219,42.06,,,,42.06,0.0
3221,18.36,,,,18.36,0.0
3224,16.59,,,,16.59,0.0
3237,38.52,,,20.560000000000002,29.540000000000003,8.98
3244,19.98,,,,19.98,0.0
3245,4.4,,,,4.4,0.0
3256,40.56,,,,40.56,0.0
3291,21.93,,,,21.93,0.0
3303,16.45,,,5.13,10.79,5.659999999999999
3312,20.189999999999998,,,,20.189999999999998,0.0
3322,4.18,,,24.22,14.2,10.02
3335,15.48,9.6,,42.32,22.46666666666667,14.242184601465542
3336,32.22,,,,32.22,0.0
3337,8.77,,,,8.77,0.0
3342,10.79,,,,10.79,0.0
3358,18.93,,,,18.93,0.0
3362,21.03,,,5.28,13.155000000000001,7.875000000000001
3385,19.3,,,,19.3,0.0
3406,8.52,9.149999999999999,,,8.834999999999999,0.3149999999999995
3407,4.18,,,,4.18,0.0
3424,9.86,,43.42,,26.64,16.78
3426,23.0,,,,23.0,0.0
3433,15.53,,,,15.53,0.0
3441,7.7,,,,7.7,0.0
3470,33.92,,,,33.92,0.0
3477,16.48,,,,16.48,0.0
3485,10.92,6.07,,,8.495000000000001,2.425
3486,16.13,,,,16.13,0.0
3523,21.12,,,,21.12,0.0
3528,19.23,,,3.48,11.355,7.875
3557,11.280000000000001,,,,11.280000000000001,0.0
3562,16.58,,4.07,,10.325,6.254999999999999
3563,4.08,,,,4.08,0.0
3581,5.58,,,,5.58,0.0
3611,4.1,,,,4.1,0.0
3621,16.619999999999997,,,,16.619999999999997,0.0
3639,10.73,,,5.27,8.0,2.7300000000000004
3677,15.67,,,,15.67,0.0
3689,20.26,,,,20.26,0.0
3693,8.57,,,,8.57,0.0
3696,15.77,,,,15.77,0.0
3717,21.65,24.630000000000003,,,23.14,1.490000000000002
3720,13.850000000000001,7.47,,,10.66,3.190000000000001
3722,14.809999999999999,,,,14.809999999999999,0.0
3739,18.259999999999998,,,,18.259999999999998,0.0
3749,15.41,,,9.02,12.215,3.1950000000000003
3756,22.89,,,,22.89,0.0
3759,19.47,,,6.03,12.75,6.719999999999999
3761,11.85,,,21.37,16.61,4.760000000000001
3767,6.67,5.18,,,5.925,0.7450000000000001
3772,3.77,,,,3.77,0.0
3786,19.53,,,16.61,18.07,1.4600000000000009
3787,20.3,,,,20.3,0.0
3789,11.1,,,,11.1,0.0
3794,5.17,,,,5.17,0.0
3799,10.17,,,,10.17,0.0
3802,6.15,,,,6.15,0.0
3835,11.27,,,,11.27,0.0
3836,35.97,,,,35.97,0.0
3852,19.66,,,,19.66,0.0
3854,11.62,,,,11.62,0.0
3856,8.69,,,,8.69,0.0
3873,10.95,,,,10.95,0.0
3879,17.17,,,,17.17,0.0
3890,22.68,,,,22.68,0.0
3906,3.98,,,,3.98,0.0
3922,5.58,,,,5.58,0.0
3935,12.45,,,,12.45,0.0
3938,32.94,,3.8,,18.369999999999997,14.569999999999999
3945,34.19,,,,34.19,0.0
3955,30.549999999999997,,33.5,,32.025,1.4750000000000014
3969,24.47,,,,24.47,0.0
3976,16.67,,38.650000000000006,,27.660000000000004,10.990000000000002
4033,4.08,,,,4.08,0.0
4039,8.33,,,,8.33,0.0
4054,8.35,,,,8.35,0.0
4062,36.02,33.95,,,34.985,1.0350000000000001
4080,8.55,,,,8.55,0.0
4089,15.97,,,,15.97,0.0
4095,43.23,,,,43.23,0.0
4132,37.019999999999996,,19.83,,28.424999999999997,8.594999999999999
4167,11.17,,,,11.17,0.0
4184,4.72,,,,4.72,0.0
4185,16.54,,,,16.54,0.0
4241,5.65,,,,5.65,0.0
4279,18.830000000000002,,,,18.830000000000002,0.0
4289,5.43,,,30.8,18.115000000000002,12.685
4290,9.79,,,,9.79,0.0
4295,36.35,,,,36.35,0.0
4314,23.770000000000003,,,,23.770000000000003,0.0
4335,29.17,,,,29.17,0.0
4363,22.13,,,,22.13,0.0
4372,12.33,,,,12.33,0.0
4396,9.43,,,,9.43,0.0
4409,21.87,37.92,,,29.895000000000003,8.025
4424,10.42,,,,10.42,0.0
4432,6.03,,,,6.03,0.0
4433,15.37,,,,15.37,0.0
4454,20.9,,,,20.9,0.0
4478,7.78,,,,7.78,0.0
4495,14.63,,,,14.63,0.0
4508,4.68,,46.44,,25.56,20.88
4548,6.9,,,,6.9,0.0
4568,3.25,,,,3.25,0.0
4572,4.03,,,,4.03,0.0
4577,22.45,,,,22.45,0.0
4579,39.07,,,,39.07,0.0
4589,9.02,,,,9.02,0.0
4608,21.73,,,,21.73,0.0
4616,15.55,,,,15.55,0.0
4627,30.05,,,,30.05,0.0
4635,34.16,20.34,,39.8,31.433333333333334,8.175122153351728
4644,20.7,20.55,,,20.625,0.07499999999999929
4650,10.43,,,,10.43,0.0
4660,15.75,,,,15.75,0.0
4673,14.8,,19.04,,16.92,2.119999999999999
4678,5.12,18.28,,,11.700000000000001,6.58
4694,35.3,,,,35.3,0.0
4701,19.200000000000003,,,,19.200000000000003,0.0
4713,12.12,,,,12.12,0.0
4724,8.7,,,,8.7,0.0
4727,9.0,,,,9.0,0.0
4746,24.32,,21.52,,22.92,1.4000000000000004
4756,8.379999999999999,,,,8.379999999999999,0.0
4771,9.42,,,,9.42,0.0
4778,15.62,,,19.78,17.7,2.080000000000001
4787,16.04,,,,16.04,0.0
4801,21.48,,,,21.48,0.0
4810,7.6,,,,7.6,0.0
4827,11.43,,,,11.43,0.0
4829,10.030000000000001,,,,10.030000000000001,0.0
4837,10.03,,,,10.03,0.0
4838,8.0,,,,8.0,0.0
4850,40.61,,,,40.61,0.0
4855,9.88,,,,9.88,0.0
4872,5.77,,,,5.77,0.0
4890,8.85,,,,8.85,0.0
4900,9.3,,,,9.3,0.0
4901,5.93,,,,5.93,0.0
4905,13.870000000000001,,,,13.870000000000001,0.0
4922,17.33,,,,17.33,0.0
4923,36.55,,50.82,,43.685,7.135000000000002
4926,7.880000000000001,,,4.38,6.130000000000001,1.7500000000000004
4927,19.98,,,,19.98,0.0
4955,7.5,,,,7.5,0.0
4980,11.22,,,,11.22,0.0
5010,4.25,,,,4.25,0.0
5011,10.899999999999999,,,,10.899999999999999,0.0
5044,6.17,,,,6.17,0.0
5062,3.55,,18.07,,10.81,7.26
5065,11.37,,,,11.37,0.0
5071,15.26,,,,15.26,0.0
5072,33.85,,,,33.85,0.0
5088,21.1,10.06,,,15.580000000000002,5.5200000000000005
