,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1986,18.33,,,,18.33,0.0
1990,16.26,,,,16.26,0.0
1992,15.73,10.0,,,12.865,2.865
1995,14.6,,,22.23,18.415,3.8150000000000004
1997,14.27,,,18.1,16.185000000000002,1.915000000000001
2003,23.28,,,,23.28,0.0
2004,22.51,5.79,,,14.15,8.36
2008,26.02,,,,26.02,0.0
2015,23.08,0.0,0.0,23.19,11.567499999999999,11.567565376949464
2031,14.65,,,,14.65,0.0
2047,0.0,,,,0.0,0.0
2057,27.76,,,,27.76,0.0
2073,0.0,,1.0,33.67,11.556666666666667,15.641816461722797
2084,11.0,,,,11.0,0.0
2090,31.44,,,,31.44,0.0
2104,0.0,5.65,1.0,,2.216666666666667,2.4618195619410366
2108,17.44,,13.0,29.25,19.896666666666665,6.857698026467936
2110,18.22,,,,18.22,0.0
2111,19.74,,,,19.74,0.0
2116,29.35,,14.98,,22.165,7.1850000000000005
2121,30.99,7.0,,,18.994999999999997,11.995
2130,0.0,,,,0.0,0.0
2139,14.0,,,,14.0,0.0
2158,31.51,,,,31.51,0.0
2161,31.16,,,,31.16,0.0
2166,2.0,,,,2.0,0.0
2167,3.41,,,,3.41,0.0
2169,0.0,1.79,,,0.895,0.895
2172,1.0,,,19.2,10.1,9.1
2173,0.0,1.89,,,0.945,0.945
2185,28.87,,32.45,,30.660000000000004,1.790000000000001
2193,5.42,,,1.11,3.265,2.155
2194,6.73,5.19,,,5.960000000000001,0.77
2205,1.0,1.0,0.0,,0.6666666666666666,0.4714045207910317
2212,18.88,11.0,14.0,,14.626666666666665,3.2473715867178212
2217,29.37,,,,29.37,0.0
2243,1.0,0.0,16.16,30.6,11.940000000000001,12.532469828409724
2250,17.61,,,,17.61,0.0
2258,1.0,0.0,,,0.5,0.5
2271,11.9,,,,11.9,0.0
2275,13.75,7.23,31.47,,17.483333333333334,10.241996333180797
2283,29.81,,,,29.81,0.0
2284,0.0,,,,0.0,0.0
2293,1.0,,,1.0,1.0,0.0
2299,16.99,,12.12,,14.555,2.4349999999999996
2316,29.46,,,,29.46,0.0
2319,0.0,,,,0.0,0.0
2327,12.0,,13.91,,12.955,0.9550000000000001
2341,26.64,24.09,,,25.365000000000002,1.2750000000000004
2353,0.0,,,,0.0,0.0
2361,13.0,,15.12,,14.059999999999999,1.0599999999999996
2374,12.76,,,,12.76,0.0
2389,0.0,12.28,,,6.14,6.14
2392,0.0,,,,0.0,0.0
2404,14.81,,,,14.81,0.0
2414,25.1,,,,25.1,0.0
2429,0.0,,,0.0,0.0,0.0
2431,0.0,,,,0.0,0.0
2432,13.0,,,,13.0,0.0
2436,14.47,,,,14.47,0.0
2438,13.48,,7.83,,10.655000000000001,2.825
2443,23.08,1.94,,,12.51,10.57
2444,1.0,,,,1.0,0.0
2448,0.0,,,,0.0,0.0
2465,10.41,,10.47,,10.440000000000001,0.03000000000000025
2473,0.0,,,,0.0,0.0
2475,0.0,,,,0.0,0.0
2487,11.31,,12.0,,11.655000000000001,0.34499999999999975
2496,24.25,,,,24.25,0.0
2498,0.0,,8.05,,4.025,4.025
2502,0.0,0.0,,,0.0,0.0
2504,0.0,0.0,6.21,,2.07,2.927422074112307
2510,8.26,,,6.95,7.605,0.6549999999999998
2519,10.52,,,0.1,5.31,5.21
2534,9.0,,,,9.0,0.0
2549,24.35,,,,24.35,0.0
2553,0.0,,,,0.0,0.0
2580,11.0,11.0,0.0,,7.333333333333333,5.185449728701348
2586,6.0,11.0,0.0,,5.666666666666667,4.4969125210773475
2591,5.26,,,,5.26,0.0
2602,0.0,,,,0.0,0.0
2606,0.0,6.45,6.0,,4.1499999999999995,2.9402380855978314
2612,9.0,2.94,,,5.97,3.0300000000000002
2615,7.0,,9.12,,8.059999999999999,1.0599999999999996
2619,8.26,,,,8.26,0.0
2621,8.13,,,,8.13,0.0
2630,0.0,,,,0.0,0.0
2640,12.0,,,,12.0,0.0
2652,7.0,11.0,,0.0,6.0,4.546060565661952
2661,0.0,,,,0.0,0.0
2666,2.0,,,,2.0,0.0
2667,0.0,,,14.16,7.08,7.08
2668,0.0,,,,0.0,0.0
2670,13.0,,,,13.0,0.0
2677,9.0,,,,9.0,0.0
2720,1.0,,8.48,,4.74,3.74
2733,0.0,,,,0.0,0.0
2735,0.0,,,29.58,14.79,14.79
2745,11.0,,,0.0,5.5,5.5
2746,11.0,,,,11.0,0.0
2769,9.19,,,,9.19,0.0
2770,8.83,6.82,,,7.825,1.005
2771,0.0,,4.53,,2.265,2.265
2775,0.0,,0.0,,0.0,0.0
2791,11.0,,,,11.0,0.0
2793,10.0,,,,10.0,0.0
2795,12.89,,25.42,,19.155,6.265000000000001
2800,0.0,,,,0.0,0.0
2806,0.0,,,,0.0,0.0
2818,9.0,,,13.0,11.0,2.0
2831,0.0,,,,0.0,0.0
2835,0.0,,,,0.0,0.0
2847,8.0,,,,8.0,0.0
2855,0.0,,,,0.0,0.0
2856,0.0,,16.38,,8.19,8.19
2859,0.0,,,9.07,4.535,4.535
2862,0.0,10.68,,,5.34,5.34
2874,7.0,0.0,,,3.5,3.5
2902,0.0,,,,0.0,0.0
2904,15.0,,,28.96,21.98,6.98
2911,9.0,,,,9.0,0.0
2950,0.0,13.0,,12.0,8.333333333333334,5.90668171555645
2955,12.0,,,,12.0,0.0
2961,8.0,,,,8.0,0.0
2962,8.59,,,,8.59,0.0
2968,8.73,11.33,21.61,11.0,13.1675,4.9759841991308615
2971,0.0,,,,0.0,0.0
2975,0.0,,,,0.0,0.0
2980,13.0,,0.0,,6.5,6.5
2982,9.0,,1.0,,5.0,4.0
2994,9.04,,,,9.04,0.0
2997,8.7,,,1.0,4.85,3.8499999999999996
3001,0.0,,,,0.0,0.0
3007,0.0,,2.0,,1.0,1.0
3013,12.0,,,,12.0,0.0
3015,9.0,,,,9.0,0.0
3023,10.73,,,,10.73,0.0
3025,9.99,,,,9.99,0.0
3029,0.0,,,,0.0,0.0
3031,0.0,,,,0.0,0.0
3038,0.0,,,,0.0,0.0
3041,0.0,,,,0.0,0.0
3053,7.8,,,0.0,3.9,3.9
3062,0.0,,,,0.0,0.0
3075,10.0,,,,10.0,0.0
3082,7.0,,,1.0,4.0,3.0
3086,7.97,,8.0,,7.984999999999999,0.015000000000000124
3091,0.0,,,,0.0,0.0
3093,3.0,,,,3.0,0.0
3100,1.0,,,,1.0,0.0
3101,1.0,6.57,,,3.785,2.785
3126,22.72,,,5.0,13.86,8.86
3130,2.0,,,7.38,4.6899999999999995,2.69
3140,1.0,,,,1.0,0.0
3144,0.0,,4.9,,2.45,2.45
3156,11.0,,9.73,,10.365,0.6349999999999998
3157,11.3,,,,11.3,0.0
3174,2.0,,,,2.0,0.0
3178,1.0,,,,1.0,0.0
3198,0.0,11.1,8.0,12.21,7.827500000000001,4.7753291771353314
3203,0.0,,,,0.0,0.0
3205,0.0,,,22.46,11.23,11.23
3206,0.0,9.16,,,4.58,4.58
3211,10.0,,,,10.0,0.0
3213,11.0,,,,11.0,0.0
3225,11.6,,,,11.6,0.0
3230,22.9,,,8.2,15.549999999999999,7.35
3240,0.0,,0.0,,0.0,0.0
3247,15.0,,,,15.0,0.0
3251,14.5,,,,14.5,0.0
3253,15.06,,,,15.06,0.0
3255,8.79,,,,8.79,0.0
3264,0.0,,,,0.0,0.0
3265,0.0,,,0.0,0.0,0.0
3266,0.0,0.0,0.0,,0.0,0.0
3271,12.0,,,11.0,11.5,0.5
3279,7.0,,,,7.0,0.0
3282,7.0,8.0,,5.0,6.666666666666667,1.247219128924647
3296,1.0,,,,1.0,0.0
3304,12.0,,,,12.0,0.0
3311,7.0,,12.0,,9.5,2.5
3313,7.0,,,,7.0,0.0
3346,8.04,,,,8.04,0.0
3353,2.0,6.52,,,4.26,2.26
3355,0.0,,,13.0,6.5,6.5
3369,7.0,11.0,0.0,,6.0,4.546060565661952
3372,9.06,,2.0,,5.53,3.5300000000000002
3373,12.02,,,0.0,6.01,6.01
3376,8.76,,,,8.76,0.0
3383,2.0,,,,2.0,0.0
3401,10.0,,,,10.0,0.0
3411,1.0,,,,1.0,0.0
3422,10.0,0.0,,,5.0,5.0
3428,6.07,,,0.0,3.035,3.035
3429,1.0,11.0,,,6.0,5.0
3431,2.0,,,,2.0,0.0
3438,0.0,,,,0.0,0.0
3440,0.0,,,7.31,3.655,3.655
3444,11.0,,,,11.0,0.0
3451,2.0,,,,2.0,0.0
3465,0.0,0.0,0.0,,0.0,0.0
3478,10.0,,,0.0,5.0,5.0
3481,10.0,,9.0,,9.5,0.5
3484,10.76,,,,10.76,0.0
3492,0.0,,,,0.0,0.0
3502,0.0,,,,0.0,0.0
3507,8.0,,,,8.0,0.0
3511,7.08,,,,7.08,0.0
3512,7.69,,,,7.69,0.0
3519,0.0,,0.0,9.21,3.0700000000000003,4.341635636485402
3521,0.0,,,,0.0,0.0
3527,12.0,,,,12.0,0.0
3534,12.0,,,,12.0,0.0
3535,9.0,,,,9.0,0.0
3542,8.46,,,9.0,8.73,0.2699999999999996
3543,6.74,,,,6.74,0.0
3549,0.0,,8.629999999999999,,4.3149999999999995,4.3149999999999995
3552,0.0,,,,0.0,0.0
3554,1.25,,,,1.25,0.0
3565,10.0,13.0,,0.0,7.666666666666667,5.557777333511022
3580,0.0,,,,0.0,0.0
3594,8.0,,,,8.0,0.0
3596,7.0,,,,7.0,0.0
3598,9.5,,,,9.5,0.0
3599,7.35,,,,7.35,0.0
3606,0.0,,,,0.0,0.0
3615,0.0,,,,0.0,0.0
3616,12.0,,,,12.0,0.0
3617,11.0,15.0,,,13.0,2.0
3624,10.0,,,,10.0,0.0
3642,1.0,,,,1.0,0.0
3644,0.0,1.0,,,0.5,0.5
3648,12.0,,,,12.0,0.0
3649,12.0,,9.07,17.34,12.803333333333333,3.4236660013629963
3652,8.0,,9.33,,8.665,0.665
3658,5.0,,,,5.0,0.0
3662,7.25,,,,7.25,0.0
3663,6.02,,,,6.02,0.0
3671,0.84,,,,0.84,0.0
3675,1.2,,,,1.2,0.0
3685,5.0,8.85,,,6.925,1.9249999999999998
3692,7.85,,,,7.85,0.0
3694,6.9,,,,6.9,0.0
3695,6.46,,,,6.46,0.0
3701,0.0,,,,0.0,0.0
3708,2.0,9.23,,,5.615,3.615
3724,5.26,,,,5.26,0.0
3725,7.52,12.0,,,9.76,2.24
3726,0.0,,,,0.0,0.0
3730,0.0,10.0,,,5.0,5.0
3732,0.0,,,,0.0,0.0
3753,9.74,,,,9.74,0.0
3758,8.32,,,,8.32,0.0
3760,8.59,,,,8.59,0.0
3762,8.38,12.0,,5.55,8.643333333333334,2.639776926602364
3806,9.0,,,,9.0,0.0
3814,6.51,,,,6.51,0.0
3823,1.0,,,,1.0,0.0
3825,2.0,,,,2.0,0.0
3829,0.0,0.0,,,0.0,0.0
3833,0.0,,,,0.0,0.0
3844,6.0,,,0.0,3.0,3.0
3845,5.0,,0.0,,2.5,2.5
3861,0.0,,,,0.0,0.0
3870,11.0,,,,11.0,0.0
3885,7.95,,,,7.95,0.0
3897,3.0,,0.0,,1.5,1.5
3898,0.0,0.0,,,0.0,0.0
3904,0.0,,,,0.0,0.0
3907,11.0,,,,11.0,0.0
3911,7.0,11.0,,,9.0,2.0
3913,8.0,,,,8.0,0.0
3923,22.95,,,7.65,15.3,7.6499999999999995
3924,0.0,,,,0.0,0.0
3927,0.0,,,,0.0,0.0
3928,0.78,,,,0.78,0.0
3931,0.0,,,,0.0,0.0
3933,1.0,,0.0,,0.5,0.5
3940,0.0,,,,0.0,0.0
3947,16.22,7.0,,,11.61,4.609999999999999
