,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
1130,1.0,,11.0,13.0,8.333333333333334,5.2493385826745405
1133,2.0,,,,2.0,0.0
1135,0.0,6.0,,12.0,6.0,4.898979485566356
1136,0.0,6.07,10.02,13.0,7.2725,4.865395025072476
1137,0.0,6.62,10.53,,5.716666666666666,4.346050569834128
1138,0.0,5.1,15.2,12.0,8.075,5.920884646739877
1139,12.0,4.26,10.02,,8.76,3.2830473648730685
1140,11.0,3.9,,12.0,8.966666666666667,3.605859429071275
1142,11.0,,,9.0,10.0,1.0
1143,8.0,0.0,9.77,,5.923333333333333,4.250304564250531
1144,8.0,1.0,22.15,10.0,10.2875,7.620562233195133
1145,8.0,,1.0,10.0,6.333333333333333,3.8586123009300755
1149,6.61,0.0,1.0,8.46,4.0175,3.595221655197354
1150,6.98,0.0,,,3.49,3.49
1151,0.0,0.0,,7.86,2.62,3.705239533417509
1153,1.0,11.0,1.0,7.49,5.1225000000000005,4.305231555909624
1154,1.0,10.01,13.0,,8.003333333333332,5.100328965425225
1155,0.0,9.0,12.0,,7.0,5.0990195135927845
1156,0.0,7.0,,,3.5,3.5
1158,0.0,6.06,,,3.03,3.03
1159,11.0,6.44,12.0,0.0,7.36,4.7380164626138646
1160,11.0,,9.0,1.0,7.0,4.320493798938574
1161,11.0,,10.0,,10.5,0.5
1162,11.0,7.32,,3.0,7.1066666666666665,3.2694681864520754
1163,9.0,6.21,,0.0,5.07,3.7616219905780004
1164,7.0,0.0,9.23,0.0,4.0575,4.13339070860716
1165,8.0,1.0,,0.0,3.0,3.559026084010437
1166,7.0,0.0,,1.0,2.6666666666666665,3.091206165165235
1167,7.0,0.0,,0.0,2.3333333333333335,3.2998316455372216
1168,7.0,0.0,10.34,13.0,7.585,4.8679230684142905
1169,7.0,12.0,8.15,0.0,6.7875,4.334220662356729
1170,7.0,10.0,8.83,0.0,6.4575,3.8785201752730387
1171,5.37,,9.34,,7.355,1.9849999999999999
1172,4.55,9.0,,,6.775,2.225
1174,7.31,,23.16,11.0,13.823333333333332,6.7717074820330385
1175,7.86,8.0,,,7.93,0.06999999999999984
1176,7.7,9.0,1.0,9.0,6.675,3.3191678173903774
1177,6.2,7.0,0.0,9.0,5.55,3.362662635472075
1179,2.0,,1.0,9.0,4.0,3.559026084010437
1180,0.0,8.78,0.0,6.86,3.91,3.968488377203592
1181,0.0,10.11,2.0,9.0,5.2775,4.35327678306813
1183,0.0,7.42,,9.13,5.516666666666667,3.9628469003426763
1184,1.0,7.6,2.0,9.58,5.045,3.6307127399451478
1185,0.0,1.0,1.0,10.66,3.165,4.3464554524347765
1186,0.0,0.0,0.0,9.66,2.415,4.182902700278839
1187,0.0,0.0,13.0,9.3,5.575,5.726419038107498
1190,0.0,,10.0,9.2,6.3999999999999995,4.537253207246281
1192,1.0,0.0,10.0,1.0,3.0,4.06201920231798
1193,0.0,0.0,8.0,1.0,2.25,3.344772040064913
1194,0.0,1.0,9.26,1.0,2.815,3.7433507717017385
1195,11.0,2.0,9.02,0.0,5.505,4.613575077962859
1196,12.0,1.0,9.37,1.0,5.842499999999999,4.930965295963864
1198,10.0,,9.18,,9.59,0.41000000000000014
1199,10.0,13.0,9.2,0.0,8.05,4.858754984561374
1200,10.0,0.0,7.49,,5.830000000000001,4.247877901572345
1201,9.0,14.0,10.23,0.0,8.307500000000001,5.1379634827429435
1202,10.0,14.0,8.96,1.0,8.49,4.715962255998239
1203,8.0,11.0,9.4,0.0,7.1,4.2343830719480255
1204,11.0,,0.0,12.0,7.666666666666667,5.436502143433364
1205,7.0,10.0,,13.0,10.0,2.449489742783178
1207,8.0,,0.0,10.0,6.0,4.320493798938574
1210,8.99,7.0,,,7.995,0.9950000000000001
1211,8.84,9.0,,7.0,8.28,0.9074506414492562
1212,9.14,,1.0,6.0,5.38,3.351934764679448
1213,9.26,6.0,13.0,7.51,8.942499999999999,2.611248504068504
1214,9.37,6.64,12.0,10.56,9.6425,1.9677954034909222
