,Anchorage_100,Anchorage_101,Anchorage_102,Anchorage_103,mean,std
3085,7.1,,,,7.1,0.0
3092,0.0,,,,0.0,0.0
3127,21.67,11.69,,,16.68,4.990000000000001
3134,1.0,,,,1.0,0.0
3139,0.0,,,,0.0,0.0
3149,0.0,,,,0.0,0.0
3160,10.9,,,11.08,10.99,0.08999999999999986
3169,2.0,,,,2.0,0.0
3197,0.0,,,12.25,6.125,6.125
3199,0.0,,,,0.0,0.0
3218,11.0,,,1.0,6.0,5.0
3219,9.809999999999999,,,,9.809999999999999,0.0
3221,12.74,,,,12.74,0.0
3224,12.0,,,,12.0,0.0
3237,1.0,,,0.0,0.5,0.5
3244,0.0,,,,0.0,0.0
3245,2.0,,,,2.0,0.0
3256,8.62,,,,8.62,0.0
3291,9.44,,,,9.44,0.0
3303,0.0,,,0.0,0.0,0.0
3312,6.0,,,,6.0,0.0
3322,0.0,,,0.0,0.0,0.0
3335,8.0,0.0,,6.0,4.666666666666667,3.39934634239519
3336,7.0,,,,7.0,0.0
3337,0.0,,,,0.0,0.0
3342,7.66,,,,7.66,0.0
3358,0.0,,,,0.0,0.0
3362,9.0,,,9.17,9.085,0.08499999999999996
3385,0.0,,,,0.0,0.0
3406,7.43,7.08,,,7.255,0.17499999999999982
3407,7.21,,,,7.21,0.0
3424,8.0,,10.44,,9.219999999999999,1.2199999999999998
3426,6.51,,,,6.51,0.0
3433,0.0,,,,0.0,0.0
3441,0.0,,,,0.0,0.0
3470,11.0,,,,11.0,0.0
3477,8.0,,,,8.0,0.0
3485,9.39,8.97,,,9.18,0.20999999999999996
3486,9.1,,,,9.1,0.0
3523,1.0,,,,1.0,0.0
3528,13.0,,,0.0,6.5,6.5
3557,0.0,,,,0.0,0.0
3562,11.0,,0.0,,5.5,5.5
3563,12.0,,,,12.0,0.0
3581,0.0,,,,0.0,0.0
3611,0.0,,,,0.0,0.0
3621,0.0,,,,0.0,0.0
3639,0.0,,,0.0,0.0,0.0
3677,0.0,,,,0.0,0.0
3689,4.97,,,,4.97,0.0
3693,8.969999999999999,,,,8.969999999999999,0.0
3696,7.88,,,,7.88,0.0
3717,7.81,0.0,,,3.905,3.905
3720,8.67,0.0,,,4.335,4.335
3722,7.39,,,,7.39,0.0
3739,0.0,,,,0.0,0.0
3749,0.0,,,12.58,6.29,6.29
3756,9.41,,,,9.41,0.0
3759,9.32,,,23.81,16.564999999999998,7.244999999999999
3761,8.49,,,0.0,4.245,4.245
3767,1.0,10.0,,,5.5,4.5
3772,0.0,,,,0.0,0.0
3786,0.0,,,0.0,0.0,0.0
3787,0.0,,,,0.0,0.0
3789,7.23,,,,7.23,0.0
3794,0.0,,,,0.0,0.0
3799,0.0,,,,0.0,0.0
3802,0.0,,,,0.0,0.0
3835,1.0,,,,1.0,0.0
3836,0.0,,,,0.0,0.0
3852,8.35,,,,8.35,0.0
3854,8.370000000000001,,,,8.370000000000001,0.0
3856,9.690000000000001,,,,9.690000000000001,0.0
3873,12.0,,,,12.0,0.0
3879,0.0,,,,0.0,0.0
3890,9.39,,,,9.39,0.0
3906,0.0,,,,0.0,0.0
3922,11.03,,,,11.03,0.0
3935,0.0,,,,0.0,0.0
3938,14.0,,11.0,,12.5,1.5
3945,0.0,,,,0.0,0.0
3955,8.13,,10.11,,9.120000000000001,0.9899999999999993
3969,1.0,,,,1.0,0.0
3976,11.0,,6.11,,8.555,2.445
4033,6.97,,,,6.97,0.0
4039,0.0,,,,0.0,0.0
4054,9.35,,,,9.35,0.0
4062,9.04,0.0,,,4.52,4.52
4080,9.0,,,,9.0,0.0
4089,11.54,,,,11.54,0.0
4095,1.0,,,,1.0,0.0
4132,0.0,,0.67,,0.335,0.335
4167,0.0,,,,0.0,0.0
4184,1.0,,,,1.0,0.0
4185,0.0,,,,0.0,0.0
4241,9.53,,,,9.53,0.0
4279,0.0,,,,0.0,0.0
4289,0.0,,,9.059999999999999,4.529999999999999,4.529999999999999
4290,7.0,,,,7.0,0.0
4295,9.95,,,,9.95,0.0
4314,3.0,,,,3.0,0.0
4335,0.0,,,,0.0,0.0
4363,0.0,,,,0.0,0.0
4372,15.0,,,,15.0,0.0
4396,0.0,,,,0.0,0.0
4409,0.0,0.0,,,0.0,0.0
4424,0.0,,,,0.0,0.0
4432,0.0,,,,0.0,0.0
4433,2.0,,,,2.0,0.0
4454,10.52,,,,10.52,0.0
4478,0.0,,,,0.0,0.0
4495,0.0,,,,0.0,0.0
4508,8.12,,0.0,,4.06,4.06
4548,8.59,,,,8.59,0.0
4568,0.0,,,,0.0,0.0
4572,10.0,,,,10.0,0.0
4577,0.0,,,,0.0,0.0
4579,9.23,,,,9.23,0.0
4589,1.0,,,,1.0,0.0
4608,11.86,,,,11.86,0.0
4616,1.0,,,,1.0,0.0
4627,13.0,,,,13.0,0.0
4635,11.0,6.0,,0.0,5.666666666666667,4.4969125210773475
4644,11.27,5.61,,,8.44,2.8299999999999996
4650,24.95,,,,24.95,0.0
4660,0.0,,,,0.0,0.0
4673,9.0,,4.25,,6.625,2.375
4678,10.87,2.0,,,6.435,4.435
4694,1.0,,,,1.0,0.0
4701,0.0,,,,0.0,0.0
4713,7.16,,,,7.16,0.0
4724,0.0,,,,0.0,0.0
4727,0.0,,,,0.0,0.0
4746,10.9,,0.0,,5.45,5.45
4756,14.68,,,,14.68,0.0
4771,0.0,,,,0.0,0.0
4778,7.83,,,0.0,3.915,3.915
4787,14.37,,,,14.37,0.0
4801,10.35,,,,10.35,0.0
4810,27.06,,,,27.06,0.0
4827,12.0,,,,12.0,0.0
4829,0.0,,,,0.0,0.0
4837,13.23,,,,13.23,0.0
4838,11.69,,,,11.69,0.0
4850,1.0,,,,1.0,0.0
4855,0.0,,,,0.0,0.0
4872,0.0,,,,0.0,0.0
4890,8.07,,,,8.07,0.0
4900,0.0,,,,0.0,0.0
4901,1.0,,,,1.0,0.0
4905,1.0,,,,1.0,0.0
4922,9.22,,,,9.22,0.0
4923,11.03,,0.0,,5.515,5.515
4926,6.46,,,10.67,8.565,2.105
4927,6.59,,,,6.59,0.0
4955,0.0,,,,0.0,0.0
4980,0.0,,,,0.0,0.0
5010,0.0,,,,0.0,0.0
5011,1.0,,,,1.0,0.0
5044,0.0,,,,0.0,0.0
5062,8.98,,2.0,,5.49,3.49
5065,1.0,,,,1.0,0.0
5071,2.0,,,,2.0,0.0
5072,0.0,,,,0.0,0.0
5088,0.0,12.33,,,6.165,6.165
5109,1.0,,,,1.0,0.0
5113,0.0,,,,0.0,0.0
5114,1.0,,,,1.0,0.0
5115,13.0,,,,13.0,0.0
5163,10.35,,,,10.35,0.0
5171,0.0,,,,0.0,0.0
5189,6.0,,,,6.0,0.0
5207,1.0,,0.0,,0.5,0.5
5216,5.76,,,,5.76,0.0
5220,0.0,,,,0.0,0.0
5224,1.0,,,,1.0,0.0
5285,0.0,,,,0.0,0.0
5295,9.38,,,,9.38,0.0
5301,0.0,,0.0,,0.0,0.0
5326,9.95,1.0,,,5.475,4.475
5353,9.65,,,,9.65,0.0
5380,10.0,,,,10.0,0.0
5403,0.0,,,,0.0,0.0
5411,0.0,,,,0.0,0.0
5423,0.0,,,,0.0,0.0
5445,0.0,,,,0.0,0.0
5448,0.0,7.0,,,3.5,3.5
5449,0.0,,,,0.0,0.0
5458,8.0,,,,8.0,0.0
5473,10.14,,,,10.14,0.0
5504,0.0,,,11.79,5.895,5.895
5514,1.0,,,11.95,6.475,5.475
5520,,,,0.0,0.0,0.0
