,Beam In,Draft In,Daylight In,Total In
"(-1, 0]",89.61073825503357,95.83892617449663,76.36252296387018,51.91873589164786
"(0, 1]",5.906040268456376,0.832214765100671,0.1837109614206981,20.34827475008062
"(1, 2]",2.1476510067114094,1.9328859060402683,0.0612369871402327,6.3527894227668495
"(2, 3]",1.181208053691275,1.1275167785234899,0.4592774035517453,1.805869074492099
"(3, 4]",0.3221476510067114,0.1610738255033557,0.8573178199632578,0.5482102547565302
"(4, 5]",0.4295302013422818,0.05369127516778523,1.5921616656460504,1.1286681715575622
"(5, 6]",0.2147651006711409,0.05369127516778523,2.1739130434782608,1.580135440180587
"(6, 7]",0.10738255033557045,0.0,3.6742192284139623,2.418574653337633
"(7, 8]",0.08053691275167785,0.0,4.990814451928965,3.740728797162206
"(8, 9]",0.0,0.0,4.715248009797918,4.385682038052241
"(9, 10]",0.0,0.0,4.929577464788732,5.772331505965817
