,Beam Out,Draft Out,Daylight Out,Total Out
"(-1, 0]",91.16541353383458,94.03866809881848,81.74976481655692,55.406729826853976
"(0, 1]",4.564983888292159,1.664876476906552,0.0,18.39268213002287
"(1, 2]",2.3630504833512354,2.0676691729323307,0.06271558482282848,8.134596537079386
"(2, 3]",0.9398496240601504,1.4232008592910848,0.0,2.2868343678536425
"(3, 4]",0.3490870032223416,0.5370569280343717,0.06271558482282848,0.7840574975498202
"(4, 5]",0.26852846401718583,0.26852846401718583,0.2508623392913139,0.4900359359686377
"(5, 6]",0.21482277121374865,0.0,0.5644402634054563,0.42469781117281935
"(6, 7]",0.05370569280343716,0.0,1.567889620570712,1.0454099967330936
"(7, 8]",0.02685284640171858,0.0,3.6375039197240513,2.515517804639007
"(8, 9]",0.0,0.0,4.985888993414863,3.8222803005553736
"(9, 10]",0.05370569280343716,0.0,7.1182188773910315,6.697157791571382
