,Turn_100,Turn_101,Turn_102,Turn_103,mean,std
3554,28.39999999999964,,,,28.39999999999964,0.0
3565,20.02999999999975,23.78999999999996,,26.75999999999976,23.52666666666649,2.7538135174497476
3580,31.84999999999991,,,,31.84999999999991,0.0
3594,20.86999999999989,,,,20.86999999999989,0.0
3596,18.97000000000025,,,,18.97000000000025,0.0
3598,56.17000000000007,,,,56.17000000000007,0.0
3599,37.55999999999995,,,,37.55999999999995,0.0
3606,33.94000000000005,,,,33.94000000000005,0.0
3615,51.0,,,,51.0,0.0
3616,49.86999999999989,,,,49.86999999999989,0.0
3617,27.25999999999976,26.30000000000018,,,26.77999999999997,0.4799999999997908
3624,19.86000000000013,,,,19.86000000000013,0.0
3642,31.16999999999962,,,,31.16999999999962,0.0
3644,29.90000000000009,30.26000000000022,,,30.080000000000155,0.18000000000006366
3648,49.23000000000002,,,,49.23000000000002,0.0
3649,21.67999999999984,,40.04999999999973,41.63999999999987,34.45666666666648,9.057756651376504
3652,21.65000000000009,,39.29000000000042,,30.470000000000255,8.820000000000164
3658,22.25999999999976,,,,22.25999999999976,0.0
3662,42.32999999999993,,,,42.32999999999993,0.0
3663,36.32999999999993,,,,36.32999999999993,0.0
3671,29.16000000000031,,,,29.16000000000031,0.0
3675,28.84000000000015,,,,28.84000000000015,0.0
3685,44.13000000000011,40.69000000000005,,,42.41000000000008,1.7200000000000308
3692,35.86999999999989,,,,35.86999999999989,0.0
3694,33.32000000000016,,,,33.32000000000016,0.0
3695,35.85999999999967,,,,35.85999999999967,0.0
3701,11.2800000000002,,,,11.2800000000002,0.0
3708,27.4699999999998,42.55999999999995,,,35.01499999999987,7.545000000000076
3724,36.69999999999982,,,,36.69999999999982,0.0
3725,34.09999999999991,65.0,,,49.549999999999955,15.450000000000045
3726,10.88000000000011,,,,10.88000000000011,0.0
3730,10.75,24.28999999999996,,,17.519999999999982,6.76999999999998
3732,26.35000000000036,,,,26.35000000000036,0.0
3753,33.63999999999987,,,,33.63999999999987,0.0
3758,42.19000000000005,,,,42.19000000000005,0.0
3760,39.45000000000027,,,,39.45000000000027,0.0
3762,36.55999999999995,25.95000000000027,,30.46000000000004,30.990000000000084,4.347696708219833
3806,42.38000000000011,,,,42.38000000000011,0.0
3814,16.49000000000024,,,,16.49000000000024,0.0
3823,34.5,,,,34.5,0.0
3825,33.36999999999989,,,,33.36999999999989,0.0
3829,29.13000000000011,30.22000000000025,,,29.675000000000182,0.545000000000071
3833,25.32000000000016,,,,25.32000000000016,0.0
3844,19.96000000000004,,,28.23000000000002,24.09500000000003,4.134999999999991
3845,15.34999999999991,,29.13999999999987,,22.24499999999989,6.894999999999979
3861,25.46000000000004,,,,25.46000000000004,0.0
3870,24.17000000000007,,,,24.17000000000007,0.0
3885,37.2199999999998,,,,37.2199999999998,0.0
3897,33.80999999999995,,10.73999999999978,,22.274999999999867,11.535000000000085
3898,51.21000000000004,51.96000000000004,,,51.58500000000004,0.375
3904,26.41000000000031,,,,26.41000000000031,0.0
3907,50.09999999999991,,,,50.09999999999991,0.0
3911,21.68000000000029,18.13999999999987,,,19.910000000000082,1.770000000000211
3913,46.42999999999984,,,,46.42999999999984,0.0
3923,60.65000000000009,,,38.03999999999996,49.34500000000003,11.305000000000067
3924,36.26000000000022,,,,36.26000000000022,0.0
3927,29.82000000000016,,,,29.82000000000016,0.0
3928,28.21000000000004,,,,28.21000000000004,0.0
3931,29.07999999999993,,,,29.07999999999993,0.0
3933,54.40000000000009,,26.01999999999998,,40.210000000000036,14.190000000000056
3940,27.40000000000009,,,,27.40000000000009,0.0
3947,45.00999999999976,19.05999999999995,,,32.034999999999854,12.974999999999907
3949,44.5,,40.15000000000009,,42.325000000000045,2.1749999999999545
3959,57.96000000000004,,,,57.96000000000004,0.0
3960,56.76999999999998,,,,56.76999999999998,0.0
3966,29.21000000000004,25.04999999999973,23.78999999999996,,26.016666666666577,2.315877563449589
3982,24.42999999999984,,,,24.42999999999984,0.0
3985,46.33999999999969,,,,46.33999999999969,0.0
3988,40.74000000000024,,30.25,35.15999999999985,35.38333333333336,4.285435281923696
3991,40.09000000000015,11.53999999999996,,28.5300000000002,26.720000000000102,11.72554760625996
3995,59.23999999999978,,22.32000000000016,,40.77999999999997,18.45999999999981
3997,32.83999999999969,,,,32.83999999999969,0.0
3998,59.57000000000016,,,51.01999999999998,55.29500000000007,4.275000000000087
4000,32.75,,,,32.75,0.0
4001,56.36000000000013,,,,56.36000000000013,0.0
4005,52.42999999999984,,,,52.42999999999984,0.0
4006,75.48000000000002,,,,75.48000000000002,0.0
4022,42.82000000000016,,,,42.82000000000016,0.0
4026,64.45000000000027,,,48.69000000000005,56.570000000000164,7.880000000000113
